region,district,municipality,origin,alert_date,alert_hour,village_area,vegetation_area,farming_area,village_veget_area,total_area,intentional_cause,alert_day,alert_month,max_temperature,precipitation,min_temperature,avg_temperature,lat,lon
Beira Litoral,Leiria,Peniche,agriculture,2014-10-21,19:59:00,0,0,5e-04,0,5e-04,0,21,October,28.7,0,20.5,23,39.3,-9.31666666666667
Beira Litoral,Viseu,Cinfães,firepit,2014-08-22,18:59:00,0,0.001,0,0.001,0.001,1,22,August,25.6,0,12.8,18.8,41.0333333333333,-8.21666666666667
Alentejo,Beja,Ourique,agriculture,2014-09-24,16:14:00,0,0,0.0373,0,0.0373,0,24,September,23.9,0,13.8,19.2,37.7336111111111,-8.29694444444444
Algarve,Faro,Loulé,agriculture,2014-09-26,12:20:00,0,0,0.3907,0,0.3907,0,26,September,25.3,0,16.2,21.9,37.1611111111111,-8.15
Alentejo,Beja,Ourique,agriculture,2014-09-26,15:31:00,0,0,1.1224,0,1.1224,0,26,September,25.3,0,14.9,21.7,37.7555555555556,-8.5
Beira Litoral,Viseu,São João da Pesqueira,firepit,2014-10-14,12:10:00,0,0.0155,0,0.0155,0.0155,1,14,October,15.9,3.2,7.7,10.9,41.1666666666667,-7.46666666666667
Tras-dos-Montes,Bragança,Bragança,agriculture,2014-09-26,15:38:00,0,0,0.91,0,0.91,0,26,September,23.5,0,10.1,16.2,41.6152777777778,-6.66472222222222
Beira Litoral,Viseu,Mangualde,firepit,2014-09-05,15:42:00,0,0.48,0,0.48,0.48,0,5,September,28,0,15.2,20.4,40.5666666666667,-7.78333333333333
Beira Litoral,Viseu,Vila Nova de Paiva,firepit,2014-09-15,15:49:00,0,0.01,0,0.01,0.01,0,15,September,25.9,7.9,16.6,20.7,40.8333333333333,-7.78333333333333
Beira Litoral,Viseu,Penedono,firepit,2014-08-08,18:26:00,0,0.01,0,0.01,0.01,0,8,August,28.5,0,16.4,21.7,41.0333333333333,-7.4
Tras-dos-Montes,Bragança,Carrazeda de Ansiães,firepit,2014-10-06,17:18:00,0,0.045,0,0.045,0.045,0,6,October,16.8,0.6,10.7,13.7,41.2,-7.31666666666667
Beira Litoral,Aveiro,Arouca,firepit,2014-10-03,15:33:00,0,0.2613,0,0.2613,0.2613,0,3,October,28.1,0,14.5,21,40.8644444444444,-8.28277777777778
Algarve,Faro,Silves,agriculture,2014-10-04,15:10:00,0,0,1.7857,0,1.7857,0,4,October,27.2,0,19.9,23.4,37.1,-8.35
Tras-dos-Montes,Bragança,Torre de Moncorvo,fire,2014-10-05,11:38:00,0,2,0,2,2,0,5,October,21,0,11.5,14.9,41.1333333333333,-7.08333333333333
Beira Litoral,Leiria,Bombarral,agriculture,2014-10-06,14:55:00,0,0,0.05,0,0.05,0,6,October,23.1,0.4,15.6,17.4,39.2666666666667,-9.13333333333333
Beira Litoral,Leiria,Alcobaça,agriculture,2014-10-06,23:35:00,0,0,0.002,0,0.002,0,6,October,22.5,0.4,12.3,16.8,39.5166666666667,-9.03333333333333
Entre Douro e Minho,Porto,Baião,false_alarm,2014-10-10,19:34:00,0,0,0,0,0,1,10,October,21.4,0,11.7,15.9,41.1241666666667,-8.05555555555556
Beira Interior,Guarda,Sabugal,agric_burn,2014-03-11,09:29:00,0,0,0.01,0,0.01,0,11,March,19.8,0,8.6,13.9,40.2894444444444,-6.89444444444444
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,firepit,2014-03-11,14:47:00,0.02,0,0,0.02,0.02,0,11,March,24.3,0,8.6,14.8,41.7469444444444,-8.79777777777778
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,fire,2014-03-15,14:54:00,0,1,0,1,1,0,15,March,21.8,0.1,7.1,12.5,41.9355555555556,-8.40305555555556
Beira Litoral,Viseu,Carregal do Sal,firepit,2014-03-12,11:27:00,0,0.4,0,0.4,0.4,0,12,March,19.1,0,10,13.6,40.6119444444444,-7.57611111111111
Alentejo,Évora,Estremoz,agric_burn,2014-06-01,15:49:00,0,0,0.045,0,0.045,0,1,June,28.4,0,11,20.4,38.8586111111111,-7.57666666666667
Alentejo,Beja,Moura,agriculture,2014-06-06,19:30:00,0,0,0.0306,0,0.0306,0,6,June,26.5,0,13.8,18.6,38.1263888888889,-7.30638888888889
Beira Litoral,Viseu,Tondela,firepit,2014-06-10,15:45:00,0,0.15,0,0.15,0.15,0,10,June,23.7,0,12.2,16.6,40.4833333333333,-8.08333333333333
Tras-dos-Montes,Bragança,Freixo de Espada Ã  Cinta,fire,2014-03-12,17:46:00,0,15.82,0,15.82,15.82,0,12,March,18.8,0,4.3,11.6,41.0922222222222,-6.80888888888889
Beira Interior,Guarda,Sabugal,agric_burn,2014-03-12,19:12:00,0,0.5,0,0.5,0.5,0,12,March,19.1,0,10,13.6,40.4427777777778,-7.07555555555556
Beira Litoral,Viseu,Tabuaço,firepit,2014-03-13,19:34:00,0,0.65,0,0.65,0.65,0,13,March,18.2,0,2.1,10.2,41.0636111111111,-7.52833333333333
Beira Litoral,Viseu,Viseu,firepit,2014-03-12,16:30:00,0.2,0.2,0,0.4,0.4,0,12,March,22.3,0,10,15.2,40.7455555555556,-7.95361111111111
Beira Interior,Castelo Branco,Belmonte,firepit,2014-06-12,02:53:00,0,0.005,0,0.005,0.005,1,12,June,34.5,0,18.7,25.9,40.3333333333333,-7.28333333333333
Tras-dos-Montes,Bragança,Mirandela,fire,2014-07-31,21:31:00,0.94,0.1,0,1.04,1.04,1,31,July,33,0,15.9,24.2,41.6833333333333,-7.16666666666667
Entre Douro e Minho,Braga,Barcelos,firepit,2014-05-15,20:11:00,0,0.05,0,0.05,0.05,0,15,May,30.1,0,14.1,21,41.4652777777778,-8.73111111111111
Beira Interior,Guarda,Mêda,fire,2014-05-16,09:10:00,10,25,5,35,40,0,16,May,26.3,0,11,18,40.8861111111111,-7.31916666666667
Entre Douro e Minho,Braga,Barcelos,agric_burn,2014-04-15,16:10:00,0.1,0,0,0.1,0.1,0,15,April,26.3,0,14.9,19.1,41.4608333333333,-8.5625
Entre Douro e Minho,Braga,Pôvoa de Lanhoso,firepit,2014-04-15,20:44:00,0.02,0.07,0,0.09,0.09,0,15,April,26.3,0,14.9,19.1,41.6133333333333,-8.23833333333333
Beira Litoral,Viseu,Viseu,firepit,2014-04-16,17:39:00,0,0.02,0,0.02,0.02,1,16,April,22.6,0,11.9,16.3,40.6736111111111,-7.82416666666667
Tras-dos-Montes,Bragança,Vila FLor,firepit,2014-04-20,15:25:00,0,0.18,0,0.18,0.18,0,20,April,18,0.1,7.6,12.1,41.3291666666667,-7.24722222222222
Entre Douro e Minho,Braga,Vieira do Minho,firepit,2014-04-22,15:35:00,0.23,0,0,0.23,0.23,0,22,April,18.6,7.7,8.5,12.1,41.5775,-8.10888888888889
Tras-dos-Montes,Bragança,Mirandela,fire,2014-04-26,17:38:00,0,1.31,0,1.31,1.31,0,26,April,16.7,7.1,9.1,10.9,41.5125,-7.21638888888889
Beira Litoral,Aveiro,Oliveira do Bairro,firepit,2014-05-16,17:44:00,0,0.017,0,0.017,0.017,1,16,May,29.2,0,15.8,20.6,40.5091666666667,-8.54777777777778
Tras-dos-Montes,Bragança,Alfândega da Fé,fire,2014-05-17,08:55:00,0,7.06,0,7.06,7.06,0,17,May,25.2,0,6.5,16.6,41.33,-6.98888888888889
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,firepit,2014-05-17,09:33:00,0,0.001,0,0.001,0.001,0,17,May,28.5,0,13.1,19.7,41.7780555555556,-8.48305555555556
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-05-17,13:02:00,0,0.02,0,0.02,0.02,0,17,May,28.5,0,13.1,19.7,41.8875,-8.44222222222222
Entre Douro e Minho,Braga,Vila Verde,firepit,2014-05-17,13:06:00,0.5,0,0,0.5,0.5,0,17,May,28.5,0,13.1,19.7,41.5847222222222,-8.50638888888889
Entre Douro e Minho,Braga,Esposende,firepit,2014-05-17,21:23:00,0,0.005,0,0.005,0.005,0,17,May,28.5,0,13.1,19.7,41.5708333333333,-8.74694444444444
Entre Douro e Minho,Braga,Amares,firepit,2014-05-18,00:55:00,0.03,0,0,0.03,0.03,0,18,May,25,0,12.7,17,41.6622222222222,-8.265
Beira Litoral,Viseu,Cinfães,fire,2014-05-02,13:17:00,1,0,0,1,1,0,2,May,27.2,0,10.3,17.7,41.0819444444444,-8.20138888888889
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,fire,2014-05-02,17:11:00,3,0,0,3,3,1,2,May,23.5,0,8.7,15.4,41.7736111111111,-8.57416666666667
Entre Douro e Minho,Viana do Castelo,Valença,agriculture,2014-05-03,12:55:00,0,0,0.01,0,0.01,0,3,May,24.4,0,9.4,16.6,42.0211111111111,-8.61805555555556
Beira Litoral,Leiria,Óbidos,agriculture,2014-07-15,21:25:00,0,0,0.005,0,0.005,0,15,July,29.5,0,18.1,21.9,39.3666666666667,-9.16666666666667
Beira Interior,Castelo Branco,Sertá,fire,2014-07-16,14:10:00,1.969,0,0,1.969,1.969,1,16,July,37,0.3,19.4,27.9,39.8333333333333,-8.03333333333333
Alentejo,Beja,Moura,agriculture,2014-05-24,13:45:00,0,0,2.4,0,2.4,0,24,May,21.9,0,7.9,14.3,38.2347222222222,-7.20888888888889
Entre Douro e Minho,Porto,Vila do Conde,fire,2014-05-31,14:10:00,1.29,0.14,0,1.43,1.43,0,31,May,22.2,0,9.4,15.6,41.3241666666667,-8.70166666666667
Beira Interior,Guarda,Trancoso,firepit,2014-05-31,16:53:00,0.15,0,0,0.15,0.15,0,31,May,24.8,0.3,13,18.6,40.8147222222222,-7.43055555555556
Entre Douro e Minho,Braga,Fafe,fire,2014-05-11,22:15:00,0.08,2,0,2.08,2.08,1,11,May,21.3,0,10.3,14.8,41.4963888888889,-8.21055555555555
Ribatejo e Oeste,Santarém,Rio Maior,firepit,2014-05-12,16:10:00,0,0.5365,0,0.5365,0.5365,0,12,May,24.9,0,14,15,39.2938888888889,-8.82027777777778
Entre Douro e Minho,Braga,Pôvoa de Lanhoso,fire,2014-05-13,09:24:00,0.6,0.75,0,1.35,1.35,0,13,May,21.2,0,7.2,14.3,41.5705555555556,-8.25527777777778
Beira Litoral,Viseu,Cinfães,firepit,2014-05-13,13:16:00,0,0.1,0,0.1,0.1,0,13,May,26.4,0,8.4,16.6,41.0677777777778,-8.22666666666667
Entre Douro e Minho,Porto,Vila Nova de Gaia,firepit,2014-06-01,13:58:00,0.11,0,0,0.11,0.11,0,1,June,25.4,0,11.5,17.9,41.02,-8.49555555555555
Alentejo,Évora,Évora,fire,2014-06-03,16:27:00,2.88,0,23.47,2.88,26.35,0,3,June,27.9,0,12.4,19.1,38.4544444444444,-7.96472222222222
Algarve,Faro,Albufeira,agriculture,2014-06-02,18:50:00,0,0,0.001,0,0.001,0,2,June,28,0,17,21.2,37.0894444444444,-8.26722222222222
Beira Interior,Guarda,Aguiar da Beira,firepit,2014-06-04,13:50:00,0.05,0,0,0.05,0.05,1,4,June,24.5,0,9.9,17.5,40.8213888888889,-7.465
Beira Litoral,Viseu,Cinfães,firepit,2014-07-30,09:22:00,0,0.03,0,0.03,0.03,0,30,July,34.9,0,13,25.8,41.0433333333333,-8.01388888888889
Beira Interior,Castelo Branco,Idanha-a-Nova,firepit,2014-07-20,18:35:00,0,0.0265,0,0.0265,0.0265,1,20,July,27.2,2,13.4,19.8,39.9269444444444,-7.245
Beira Litoral,Leiria,Leiria,firepit,2014-08-03,18:01:00,0.2,0,0,0.2,0.2,1,3,August,24.6,2.3,16.4,19.3,39.7166666666667,-8.66666666666667
Ribatejo e Oeste,Santarém,Santarém,agriculture,2014-10-19,18:45:00,0,0,3e-04,0,3e-04,0,19,October,27.6,0,18.2,20.8,39.2508333333333,-8.69027777777778
Entre Douro e Minho,Braga,Cabeceiras de Basto,fire,2014-09-02,21:52:00,0,1.2,0,1.2,1.2,1,2,September,40.4,0,16.4,29.2,41.4855555555556,-8.045
Beira Litoral,Viseu,Mangualde,firepit,2014-09-03,13:21:00,0,0.79,0,0.79,0.79,1,3,September,24.3,0,17.5,20.8,40.5666666666667,-7.75
Tras-dos-Montes,Bragança,Freixo de Espada Ã  Cinta,firepit,2014-10-03,22:17:00,0,0.65,0,0.65,0.65,0,3,October,25.6,0,10.3,17.8,41.0833333333333,-6.83333333333333
Algarve,Faro,Vila do Bispo,fire,2014-10-06,15:15:00,42.7,33.6,0,76.3,76.3,0,6,October,25.7,0,15.6,19.9,37.1333333333333,-8.92777777777778
Entre Douro e Minho,Braga,Pôvoa de Lanhoso,firepit,2014-07-31,20:16:00,0.1,0,0,0.1,0.1,0,31,July,28.2,0.1,16.2,21.8,41.6436111111111,-8.27833333333333
Ribatejo e Oeste,Santarém,Mação,agriculture,2014-09-02,14:48:00,0,0,0.7372,0,0.7372,1,2,September,34.7,0,16.5,27.4,39.5333333333333,-7.86666666666667
Beira Litoral,Viseu,Santa Comba Dão,firepit,2014-09-02,15:24:00,0,0.01,0,0.01,0.01,0,2,September,30.3,0,16.5,21.1,40.4333333333333,-8.1
Ribatejo e Oeste,Setubal,Almada,firepit,2014-09-02,18:04:00,0,0.015,0,0.015,0.015,0,2,September,27.3,0,18,21,38.6166666666667,-9.2
Alentejo,Évora,Arraiolos,agric_burn,2014-09-23,17:14:00,0,0,1.86,0,1.86,0,23,September,24.1,29,16.1,18.2,38.7333333333333,-8.06666666666667
Tras-dos-Montes,Bragança,Bragança,agriculture,2014-09-26,20:20:00,0,0,0.273,0,0.273,0,26,September,23.5,0,10.1,16.2,41.6052777777778,-6.70833333333333
Ribatejo e Oeste,Santarém,Coruche,firepit,2014-09-27,10:17:00,1e-04,0,0,1e-04,1e-04,0,27,September,22.9,0.8,18.4,18.1,38.95,-8.56666666666667
Beira Interior,Guarda,Seia,agric_burn,2014-10-14,13:45:00,0,0.002,0,0.002,0.002,0,14,October,17.6,15,8.6,13.5,40.4141666666667,-7.68361111111111
Beira Interior,Guarda,Fornos de Algodres,agric_burn,2014-10-21,07:20:00,0,6e-04,0,6e-04,6e-04,0,21,October,29.3,0,17.6,22.2,40.6616666666667,-7.49222222222222
Beira Litoral,Leiria,Leiria,agriculture,2014-10-20,14:08:00,0,0,0.001,0,0.001,0,20,October,30.4,0,16.1,23.3,39.7358333333333,-8.80388888888889
Beira Litoral,Aveiro,São João da Madeira,firepit,2014-09-03,09:49:00,0,0.1175,0,0.1175,0.1175,1,3,September,24.3,0,17.5,20.8,40.8833333333333,-8.48333333333333
Beira Litoral,Coimbra,Oliveira do Hospital,firepit,2014-09-03,11:41:00,0,0.025,0,0.025,0.025,1,3,September,24.3,0,17.5,20.8,40.4333333333333,-7.85
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-09-04,07:50:00,0.0025,0,0,0.0025,0.0025,0,4,September,22.3,0,16.3,19.4,41.8666666666667,-8.4
Beira Litoral,Viseu,Viseu,firepit,2014-09-03,02:28:00,0,0.01,0,0.01,0.01,1,3,September,24.3,0,17.5,20.8,40.6666666666667,-7.81666666666667
Ribatejo e Oeste,Santarém,Torres Novas,firepit,2014-09-03,14:41:00,0,0.0229,0,0.0229,0.0229,0,3,September,24.3,0.1,17.5,20.8,39.4666666666667,-8.5
Beira Litoral,Leiria,Caldas da Rainha,agriculture,2014-10-21,22:07:00,0,0,1e-04,0,1e-04,0,21,October,28.7,0,20.5,23,39.4333333333333,-9.11666666666667
Entre Douro e Minho,Braga,Guimarães,agriculture,2014-09-02,17:40:00,0,0,0.02,0,0.02,0,2,September,31.1,0,18,23.2,41.3666666666667,-8.33333333333333
Beira Litoral,Leiria,Figueiró dos Vinhos,firepit,2014-09-02,14:33:00,0,0.0025,0,0.0025,0.0025,1,2,September,30.3,0,16.5,21.1,39.9,-8.26666666666667
Entre Douro e Minho,Braga,Vieira do Minho,firepit,2014-09-02,20:38:00,0,0.02,0,0.02,0.02,0,2,September,31.1,0,18,23.2,41.5666666666667,-8.13333333333333
Ribatejo e Oeste,Santarém,Salvaterra de Magos,agriculture,2014-09-03,12:24:00,0,0,0.0376,0,0.0376,0,3,September,26.5,0.1,19.7,20.3,39.0333333333333,-8.68333333333333
Ribatejo e Oeste,Santarém,Benavente,firepit,2014-09-03,14:47:00,0.0667,0.2,0,0.2667,0.2667,0,3,September,26.5,0.1,19.7,20.3,38.9,-8.71666666666667
Tras-dos-Montes,Vila Real,Vila Real,fire,2014-09-02,14:25:00,1,2,0,3,3,0,2,September,35.8,0,19.5,26.8,41.2252777777778,-7.69472222222222
Entre Douro e Minho,Viana do Castelo,Ponte da Barca,fire,2014-08-01,20:15:00,0.5,2.5,0,3,3,0,1,August,20.9,23,16,17.4,41.8638888888889,-8.19944444444444
Tras-dos-Montes,Vila Real,Vila Pouca de Aguiar,firepit,2014-08-02,01:30:00,0.5,0,0,0.5,0.5,1,2,August,22.5,8.2,13.8,16.7,41.6236111111111,-7.62583333333333
Algarve,Faro,Silves,agriculture,2014-08-03,17:15:00,0,0,0.37,0,0.37,0,3,August,30,0,17.8,21.4,37.1722222222222,-8.44444444444444
Tras-dos-Montes,Vila Real,Montalegre,firepit,2014-09-03,01:35:00,0,0.2,0,0.2,0.2,0,3,September,25.6,0,17.2,21.9,41.875,-8.13055555555556
Beira Litoral,Leiria,Alvaiázere,agriculture,2014-08-03,19:26:00,0,0,2e-04,0,2e-04,0,3,August,24.6,2.3,16.4,19.3,39.8833333333333,-8.35
Entre Douro e Minho,Braga,Celorico de Basto,firepit,2014-09-03,00:09:00,0.02,0.01,0,0.03,0.03,1,3,September,25.6,0,17.2,21.9,41.4308333333333,-7.96916666666667
Ribatejo e Oeste,Lisboa,Mafra,agric_burn,2014-09-03,15:40:00,0,0.005,0,0.005,0.005,0,3,September,26.5,0.1,19.7,20.3,38.9411111111111,-9.25805555555556
Beira Litoral,Aveiro,Estarreja,firepit,2014-09-03,13:52:00,0.0415,0,0,0.0415,0.0415,1,3,September,24.3,0,17.5,20.8,40.7666666666667,-8.58333333333333
Entre Douro e Minho,Braga,Barcelos,firepit,2014-09-02,21:04:00,0,0.03,0,0.03,0.03,1,2,September,31.1,0,18,23.2,41.4975,-8.66361111111111
Beira Litoral,Aveiro,Aveiro,firepit,2014-09-03,06:04:00,0.0396,0,0,0.0396,0.0396,1,3,September,24.3,0,17.5,20.8,40.6833333333333,-8.58333333333333
Tras-dos-Montes,Bragança,Alfândega da Fé,fire,2014-09-02,21:30:00,0,46.8,0,46.8,46.8,0,2,September,35.8,0.2,19.5,26.8,41.3333333333333,-7.03333333333333
Entre Douro e Minho,Braga,Terras de Bouro,firepit,2014-05-04,00:18:00,0,0.001,0,0.001,0.001,0,4,May,26.8,0,11.9,18.3,41.7591666666667,-8.19861111111111
Beira Litoral,Aveiro,Vale de Cambra,firepit,2014-05-04,18:00:00,0.4135,0,0,0.4135,0.4135,0,4,May,28.1,0,12.7,20,40.8669444444444,-8.38194444444444
Beira Litoral,Viseu,Carregal do Sal,firepit,2014-05-04,18:25:00,0,0.005,0,0.005,0.005,0,4,May,28.1,0,12.7,20,40.6313888888889,-7.74888888888889
Algarve,Faro,Silves,firepit,2014-05-05,12:10:00,0,0.123,0,0.123,0.123,0,5,May,26.6,0,13.1,21.3,37.2091666666667,-8.40388888888889
Beira Interior,Guarda,Vila Nova de Foz Coa,fire,2014-05-05,21:30:00,1,3,1,4,5,0,5,May,26.9,0,8.1,17.7,40.97,-7.05305555555556
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,firepit,2014-05-07,13:36:00,0,0.5,0,0.5,0.5,0,7,May,24.4,0,10.1,14.8,41.6980555555556,-8.52333333333333
Tras-dos-Montes,Bragança,Torre de Moncorvo,firepit,2014-09-02,22:47:00,0,0.5,0,0.5,0.5,1,2,September,35.8,0.2,19.5,26.8,41.1333333333333,-7.11666666666667
Beira Litoral,Viseu,Viseu,firepit,2014-09-03,00:10:00,0,0.005,0,0.005,0.005,1,3,September,24.3,0,17.5,20.8,40.6833333333333,-7.9
Beira Litoral,Coimbra,Oliveira do Hospital,firepit,2014-09-03,01:51:00,0,0.01,0,0.01,0.01,0,3,September,24.3,0,17.5,20.8,40.3333333333333,-7.85
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,firepit,2014-09-03,06:36:00,0.16,0,0,0.16,0.16,0,3,September,21.8,0,17.6,19.2,41.6166666666667,-8.8
Algarve,Faro,Olhão,agriculture,2014-09-03,19:51:00,0,0,0.012,0,0.012,0,3,September,31,0,18.6,21.7,37.0888888888889,-8.08333333333333
Entre Douro e Minho,Braga,Vila Verde,firepit,2014-05-09,15:08:00,0.4,0,0,0.4,0.4,1,9,May,22,0,13.2,16.4,41.6558333333333,-8.40777777777778
Beira Interior,Castelo Branco,Belmonte,firepit,2014-05-10,11:12:00,0,0.03,0,0.03,0.03,0,10,May,31.1,0,16.4,22.8,40.3313888888889,-7.33527777777778
Ribatejo e Oeste,Santarém,Abrantes,firepit,2014-07-27,16:00:00,0,0.0158,0,0.0158,0.0158,1,27,July,35.9,0,18.6,26.9,39.45,-8.18333333333333
Beira Litoral,Leiria,Alcobaça,firepit,2014-06-16,18:32:00,0,0.01,0,0.01,0.01,0,16,June,29.7,0,18.1,22.2,39.4833333333333,-9.06666666666667
Tras-dos-Montes,Bragança,Mirandela,firepit,2014-06-17,09:58:00,0,0.222,0,0.222,0.222,1,17,June,26.8,0,10.7,19.3,41.4833333333333,-7.16666666666667
Tras-dos-Montes,Bragança,Macedo de Cavaleiros,agriculture,2014-07-28,11:26:00,0,0,0.0061,0,0.0061,0,28,July,31.4,0,18,23.6,41.5,-6.96666666666667
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-06-27,13:15:00,0.005,0,0,0.005,0.005,1,27,June,21.8,9,14.2,17,41.8666666666667,-8.23333333333333
Tras-dos-Montes,Bragança,Mirandela,agriculture,2014-06-27,13:00:00,0,0,2.55,0,2.55,0,27,June,25.3,0.2,10.8,18.4,41.5441666666667,-7.09777777777778
Tras-dos-Montes,Bragança,Bragança,agriculture,2014-06-29,11:51:00,0,0,0.001,0,0.001,0,29,June,23.4,0,7.2,16.1,41.5694444444444,-6.72027777777778
Beira Interior,Castelo Branco,Castelo Branco,firepit,2014-06-29,19:03:00,0,0.0186,0,0.0186,0.0186,1,29,June,27.5,0,11.5,18.7,39.8,-7.48333333333333
Ribatejo e Oeste,Santarém,Tomar,firepit,2014-06-29,20:19:00,0,0.1086,0,0.1086,0.1086,0,29,June,22.9,0,12.6,16.9,39.5833333333333,-8.4
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,firepit,2014-04-22,19:33:00,0,0.2,0,0.2,0.2,0,22,April,18.6,7.7,8.5,12.1,41.8594444444444,-8.56194444444444
Alentejo,Beja,Odemira,agriculture,2014-05-26,11:17:00,0,0,0.3,0,0.3,0,26,May,22.7,0,7.3,14.9,37.8619444444444,-8.40611111111111
Algarve,Faro,Portimão,agriculture,2014-05-28,15:21:00,0,0,0.05,0,0.05,0,28,May,23.9,0,15.9,18.8,37.1247222222222,-8.53527777777778
Ribatejo e Oeste,Santarém,Ourém,agriculture,2014-05-28,16:37:00,0,0,0.6685,0,0.6685,0,28,May,18.7,0,11.7,14.6,39.6691666666667,-8.54222222222222
Ribatejo e Oeste,Setubal,Alcaçer do Sal,agriculture,2014-05-31,19:15:00,0,0,1.78,0,1.78,0,31,May,28.6,0,11.6,19.3,38.4644444444444,-8.43083333333333
Beira Interior,Guarda,Pinhel,agriculture,2014-05-31,21:25:00,0,0,0.001,0,0.001,0,31,May,21.4,0.3,8,14.9,40.8461111111111,-7.17888888888889
Algarve,Faro,Lagoa,firepit,2014-06-03,16:04:00,0,0.299,0,0.299,0.299,0,3,June,24.1,0,16.7,20.7,37.1272222222222,-8.43305555555555
Beira Litoral,Viseu,Resende,firepit,2014-06-03,19:28:00,0,0.01,0,0.01,0.01,0,3,June,19.5,0.2,13,15.1,41.1030555555556,-7.92472222222222
Beira Litoral,Coimbra,Montemor-o-Velho,firepit,2014-07-30,12:37:00,0.18,0.53,0,0.71,0.71,0,30,July,34.9,0,20.3,25.8,40.2666666666667,-8.66666666666667
Alentejo,Beja,Cuba,agriculture,2014-08-07,14:04:00,0,0,0.1156,0,0.1156,1,7,August,33.3,0,17.1,24.6,38.1555555555556,-7.91111111111111
Ribatejo e Oeste,Setubal,Montijo,agriculture,2014-06-29,00:03:00,0,0,0.0372,0,0.0372,1,29,June,23.6,0,16,17.8,38.7,-8.7
Tras-dos-Montes,Vila Real,Valpaços,firepit,2014-06-16,23:15:00,0.01,0.01,0,0.02,0.02,1,16,June,25.7,0,9.5,18.3,41.5644444444444,-7.29972222222222
Beira Litoral,Coimbra,Oliveira do Hospital,firepit,2014-06-16,12:42:00,0,0.002,0,0.002,0.002,0,16,June,31.5,0,18.3,24.4,40.4666666666667,-7.81666666666667
Beira Litoral,Viseu,Nelas,firepit,2014-07-04,17:07:00,0,0.002,0,0.002,0.002,0,4,July,22.7,0.3,14.5,18,40.5,-7.9
Tras-dos-Montes,Vila Real,Boticas,fire,2014-03-12,21:05:00,0,1,0,1,1,0,12,March,24.2,0,2.9,11.6,41.7,-7.63333333333333
Tras-dos-Montes,Vila Real,Boticas,firepit,2014-03-18,16:40:00,0,0.01,0,0.01,0.01,0,18,March,18,0,6.1,12.1,41.6963888888889,-7.65972222222222
Tras-dos-Montes,Bragança,Mirandela,fire,2014-05-16,12:39:00,0,4.02,0,4.02,4.02,0,16,May,26.3,0,11,18,41.65,-7.21666666666667
Algarve,Faro,Silves,agriculture,2014-08-07,14:09:00,0,0,8e-04,0,8e-04,0,7,August,34.1,0,20.1,26.8,37.1655555555556,-8.30277777777778
Entre Douro e Minho,Braga,Vila Nova de Famalição,firepit,2014-06-13,15:25:00,0,0.07,0,0.07,0.07,0,13,June,31.8,0,18.4,24.7,41.35,-8.51666666666667
Alentejo,Beja,Beja,agriculture,2014-07-07,15:52:00,0,0,0.035,0,0.035,1,7,July,28.4,0,12.8,20.2,38.0286111111111,-7.865
Beira Litoral,Leiria,Leiria,agriculture,2014-08-16,13:20:00,0,0,0.01,0,0.01,0,16,August,32.7,0,11.7,20.8,39.6833333333333,-8.88333333333333
Beira Interior,Guarda,Mêda,firepit,2014-08-16,22:46:00,0,0.5,0,0.5,0.5,0,16,August,27.6,0,10.7,19,41.0888888888889,-7.33333333333333
Entre Douro e Minho,Braga,Fafe,firepit,2014-06-15,01:26:00,0,0.9,0,0.9,0.9,0,15,June,30.2,0,17.8,24.1,41.3833333333333,-8.13333333333333
Entre Douro e Minho,Braga,Vila Nova de Famalição,firepit,2014-06-18,16:19:00,0,0.02,0,0.02,0.02,0,18,June,24.3,0,16.4,19.5,41.4058333333333,-8.52305555555555
Entre Douro e Minho,Braga,Celorico de Basto,firepit,2014-06-18,22:55:00,0,0.4,0,0.4,0.4,1,18,June,24.3,0,16.4,19.5,41.4536111111111,-8.0725
Beira Interior,Guarda,Gouveia,firepit,2014-06-16,06:29:00,0,0.13,0,0.13,0.13,1,16,June,30.6,0,16.1,23.3,40.5061111111111,-7.67222222222222
Alentejo,Beja,Beja,agriculture,2014-07-08,14:58:00,0,0,0.216,0,0.216,1,8,July,31.6,0,12.7,23.1,38.0288888888889,-7.86583333333333
Alentejo,Évora,Évora,agriculture,2014-07-09,14:22:00,0,0,0.03,0,0.03,0,9,July,35.9,0,14,25.2,38.5833333333333,-7.88333333333333
Entre Douro e Minho,Braga,Guimarães,agriculture,2014-07-09,21:10:00,0,0,0.001,0,0.001,0,9,July,25.5,0.1,13.1,19,41.5158333333333,-8.30638888888889
Tras-dos-Montes,Vila Real,Mondim de Basto,firepit,2014-07-10,04:52:00,0,0.2,0,0.2,0.2,0,10,July,27.1,0,9.5,18.6,41.3333333333333,-7.86666666666667
