"id","region","district","municipality","parish","lat","lon","origin","alert_date","alert_hour","extinction_date","extinction_hour","firstInterv_date","firstInterv_hour","alert_source","village_area","vegetation_area","farming_area","village_veget_area","total_area","cause_type"
"406","Entre Douro e Minho","Viana do Castelo","Valença","Gandra","41:59:59.5932000000039''","8:36:4.60799999999693''","agric_burn",2015-03-14,"18:23:00",2015-03-14,"19:00:00",2015-03-14,"18:25:00",NA,0,0.04,0,0.04,0.04,"negligent"
"407","Beira Interior","Guarda","Sabugal","Quadrazais","40:19:4.72999980000054","7:0:2.88999936010441","agric_burn",2015-03-14,"18:25:00",2015-03-14,"19:31:00",2015-03-14,"18:35:00",NA,0,0.001,0,0.001,0.001,"negligent"
"408","Beira Litoral","Viseu","Castro Daire","Monteiras","40:57:37.0908000000117''","7:53:9.81240000000135''","firepit",2015-03-14,"19:00:00",2015-03-14,"20:00:00",2015-03-14,"19:16:00",NA,0,0.02,0,0.02,0.02,"negligent"
"409","-","Braga","Celorico de Basto","União das freguesias de Caçarilhe e Infesta","41:28:21","08:02:10","fire",2015-03-09,"16:24:00",2015-03-09,"17:20:00",2015-03-09,"16:40:00",NA,3,0,0,3,3,"intentional"
"410","Trás-os-Montes","Vila Real","Chaves","Anelhe","41:40:59.9628000000052''","7:34:55.1027999999987''","firepit",2015-03-10,"12:15:00",2015-03-10,"13:20:00",2015-03-10,"12:23:00",NA,0.3,0,0,0.3,0.3,"intentional"
"411","Beira Litoral","Guarda","Aguiar da Beira","Eirado","40:47:18.7727999999953''","7:29:45.3372''","agric_burn",2015-03-10,"13:47:00",2015-03-10,"15:20:00",2015-03-10,"13:57:00",NA,0,0.06,0,0.06,0.06,"negligent"
"412","Entre Douro e Minho","Vila Real","Ribeira de Pena","Alvadia","41:28:9.28920000001028''","7:46:7.26599999999863''","fire",2015-03-10,"16:09:00",2015-03-10,"18:35:00",2015-03-10,"17:58:00",NA,0,1,0,1,1,"negligent"
"413","-","Bragança","Vinhais","União das freguesias de Travanca e Santa Cruz","41:53:32","06:59:50","fire",2015-03-10,"17:25:00",2015-03-10,"19:00:00",2015-03-10,"17:52:00",NA,0,3.19,0,3.19,3.19,"negligent"
"414","-","Viana do Castelo","Paredes de Coura","União das freguesias de Formariz e Ferreira","41:57:05","08:33:23","firepit",2015-03-10,"21:10:00",2015-03-10,"23:30:00",2015-03-10,"21:20:00",NA,0.1,0.72,0,0.82,0.82,"intentional"
"415","Beira Interior","Guarda","Sabugal","Souto","40:21:0.789999999988709","6:57:55.9299999999988","agric_burn",2015-03-11,"13:10:00",2015-03-11,"13:39:00",2015-03-11,"13:12:00",NA,0,0.01,0,0.01,0.01,"negligent"
"416","Beira Interior","Guarda","Almeida","Almeida","40:42:20.1999999999987","6:53:14.1999999999986","firepit",2015-03-11,"15:46:00",2015-03-11,"17:32:00",2015-03-11,"15:58:00",NA,0.3,0.4,0,0.7,0.7,"negligent"
"417","Beira Litoral","Coimbra","Tábua","Mouronho","40:17:58.3367999999939''","8:1:25.4352000000027''","firepit",2015-04-02,"16:25:00",2015-04-02,"18:05:00",2015-04-02,"16:50:00",NA,0,0.01,0,0.01,0.01,"rekindling"
"418","-","Viana Do Castelo","Ponte De Lima","Bárrio","41:51:00","08:33:28","firepit",2015-04-02,"21:12:00",2015-04-02,"22:30:00",2015-04-02,"21:20:00",NA,0,0.03,0,0.03,0.03,"negligent"
"419","Beira Interior","Guarda","Mêda","Outeiro de Gatos","40:57:15.7968000000056''","7:18:24.451199999999''","agriculture",2015-03-07,"18:15:00",2015-03-07,"19:40:00",2015-03-07,"18:48:00",NA,0,0.2,0.3,0.2,0.5,"negligent"
"420","Beira Litoral","Aveiro","Aveiro","Requeixo","40:35:29.6844000000107''","8:31:48.1259999999993''","firepit",2015-03-30,"20:19:00",2015-03-30,"22:30:00",2015-03-30,"20:30:00",NA,0.2625,0,0,0.2625,0.2625,"intentional"
"421","Entre Douro e Minho","Braga","Cabeceiras de Basto","Cabeceiras de Basto","41:33:32.9184000000123''","8:1:13.796399999997''","fire",2015-03-30,"12:14:00",2015-03-30,"15:00:00",2015-03-30,"12:30:00",NA,0,1,0,1,1,"intentional"
"422","-","Vila Real","Valpaços","Carrazedo de Montenegro","41:33:58.6900000000026","7:26:18.2100000000042","firepit",2015-03-30,"14:13:00",2015-03-30,"14:50:00",2015-03-30,"14:20:00",NA,0,0.1,0,0.1,0.1,"negligent"
"423","Ribatejo e Oeste","Santarém","Abrantes","Mouriscas","39:29:3.64999999998815","8:5:12.4999999999993","firepit",2015-03-30,"17:13:00",2015-03-30,"19:45:00",2015-03-30,"17:31:00",NA,0,0.19,0,0.19,0.19,"negligent"
"424","Trás-os-Montes","Vila Real","Montalegre","Cabril","41:42:22","08:02:31","fire",2015-03-30,"21:30:00",2015-03-31,"02:30:00",2015-03-30,"21:55:00",NA,2,0,0,2,2,"intentional"
"425","Trás-os-Montes","Vila Real","Valpaços","Bouçoães","41:44:22","07:11:12","fire",2015-04-02,"16:08:00",2015-04-03,"00:35:00",2015-04-02,"17:10:00",NA,2,6,0,8,8,"intentional"
"426","Entre Douro e Minho","Porto","Paredes","Baltar","41:11:20.3748000000127''","8:23:17.5668000000013''","firepit",2015-04-03,"03:23:00",2015-04-03,"05:05:00",2015-04-03,"03:26:00",NA,0.2,0,0,0.2,0.2,"negligent"
"427","Entre Douro e Minho","Vila Real","Ribeira de Pena","Alvadia","41:26:38.1588000000045''","7:43:52.708800000001''","fire",2015-03-14,"20:18:00",2015-03-15,"01:55:00",2015-03-14,"20:40:00",NA,0,8.5,0,8.5,8.5,"negligent"
"428","Alentejo","Évora","Viana do Alentejo","Viana do Alentejo","38:19:40.0979999999925''","8:1:5.4371999999988''","agric_burn",2015-03-15,"10:12:00",2015-03-15,"11:20:00",2015-03-15,"10:33:00",NA,0,0,1e-04,0,1e-04,"negligent"
"429","Trás-os-Montes","Vila Real","Vila Real","Parada de Cunhos","41:17:9.36959999999829''","7:45:51.3899999999985''","fire",2015-03-15,"10:47:00",2015-03-15,"13:45:00",2015-03-15,"11:05:00",NA,1.72,0,0,1.72,1.72,"negligent"
"430","Trás-os-Montes","Vila Real","Montalegre","Salto","41:36:21","07:52:30","fire",2015-03-15,"11:40:00",2015-03-15,"15:20:00",2015-03-15,"12:10:00",NA,0,2,0,2,2,"negligent"
"431","-","Guarda","Almeida","Aldeia Nova","40:40:35.2599999999939","6:57:48.1799999999981","agric_burn",2015-03-15,"17:08:00",2015-03-15,"19:00:00",2015-03-15,"17:30:00",NA,0,0.5,0,0.5,0.5,"negligent"
"432","Trás-os-Montes","Vila Real","Valpaços","Sonim","41:43:02","07:13:04","fire",2015-03-15,"16:30:00",2015-03-15,"17:55:00",2015-03-15,"16:55:00",NA,0,2,0,2,2,"negligent"
"433","Entre Douro e Minho","Porto","Amarante","Telões","41:19:0.649200000009955''","8:5:37.651200000002''","firepit",2015-05-22,"20:45:00",2015-05-22,"23:45:00",2015-05-22,"20:50:00",NA,0.055,0,0,0.055,0.055,"intentional"
"434","Entre Douro e Minho","Viseu","Cinfães","Cinfães","41:4:19.9667999999923''","8:5:12.2171999999992''","firepit",2015-05-23,"10:28:00",2015-05-23,"11:32:00",2015-05-23,"10:30:00",NA,0,1e-04,0,1e-04,1e-04,"negligent"
"435","Ribatejo e Oeste","Santarém","Coruche","São José da Lamorosa","39:4:34.4712000000021''","8:30:2.04120000000074''","agriculture",2015-03-06,"12:21:00",2015-03-06,"13:45:00",2015-03-06,"12:50:00",NA,0,0,0.39,0,0.39,"negligent"
"436","Entre Douro e Minho","Viseu","Cinfães","Tendais","41:2:10.2804000000009''","8:4:25.2119999999996''","fire",2015-03-20,"12:07:00",2015-03-20,"13:21:00",2015-03-20,"12:24:00",NA,0,1,0,1,1,"negligent"
"437","Trás-os-Montes","Bragança","Freixo De Espada À Cinta","Poiares","41:2:1.16160000000207''","6:51:25.8876000000009''","firepit",2015-05-15,"15:24:00",2015-05-15,"16:22:00",2015-05-15,"15:37:00",NA,0,0.0052,0,0.0052,0.0052,"negligent"
"438","Alentejo","Beja","Vidigueira","Pedrógão","38:10:2.2728000000086''","7:38:18.2651999999998''","agriculture",2015-05-15,"12:35:00",2015-05-15,"15:30:00",2015-05-15,"13:00:00",NA,0,0,1.773,0,1.773,"negligent"
"439","Alentejo","Évora","Mora","Cabeção","1900-01-01 14:57:01","08:04:37","agriculture",2015-05-16,"14:00:00",2015-05-16,"15:40:00",2015-05-16,"14:17:00",NA,0,0,1,0,1,"negligent"
"440","Trás-os-Montes","Bragança","Bragança","Serapicos","41:37:10.8767999999873''","6:46:8.1407999999994''","firepit",2015-05-16,"16:34:00",2015-05-16,"17:44:00",2015-05-16,"16:50:00",NA,0,0.0019,0,0.0019,0.0019,"negligent"
"441","Entre Douro e Minho","Braga","Vieira do Minho","Anjos","41:36:59.6412000000123''","8:4:7.13999999999956''","fire",2015-05-16,"17:15:00",2015-05-16,"19:21:00",2015-05-16,"17:25:00",NA,0,2,0,2,2,"negligent"
"442","Entre Douro e Minho","Viana do Castelo","Ponte da Barca","Entre Ambos-os-Rios","41:48:14.7960000000052''","8:18:5.78159999999855''","fire",2015-05-16,"20:40:00",2015-05-17,"01:15:00",2015-05-16,"20:41:00",NA,7,0,0,7,7,"intentional"
"443","Trás-os-Montes","Bragança","Vimioso","Vimioso","41:34:56.4348000000058''","6:31:34.6836000000005''","firepit",2015-03-06,"12:36:00",2015-03-06,"13:45:00",2015-03-06,"12:50:00",NA,0,0.18,0,0.18,0.18,"negligent"
"444","Trás-os-Montes","Viseu","Moimenta da Beira","Sever","40:59:57.9192000000097''","7:42:44.5931999999988''","firepit",2015-03-06,"14:18:00",2015-03-06,"15:35:00",2015-03-06,"14:30:00",NA,0,0.29,0,0.29,0.29,"negligent"
"445","-","Guarda","Figueira de Castelo Rodrigo","Colmeal","40:51:13.9999996800009","7:0:50.9999997599152","agric_burn",2015-03-07,"08:29:00",2015-03-07,"09:52:00",2015-03-07,"09:00:00",NA,0,0.001,0,0.001,0.001,"negligent"
"446","Ribatejo e Oeste","Lisboa","Loures","Bucelas","38:54:43.8299999999919''","9:7:29.4275999999999''","agric_burn",2015-03-07,"10:45:00",2015-03-07,"12:43:00",2015-03-07,"10:53:00",NA,0,0,0.1,0,0.1,"negligent"
"447","Beira Interior","Guarda","Sabugal","Souto","40:21:22.3599999600077","6:58:14.0899997998713","agric_burn",2015-03-07,"18:36:00",2015-03-07,"19:14:00",2015-03-07,"18:40:00",NA,0,0,0.1,0,0.1,"negligent"
"448","Beira Interior","Castelo Branco","Castelo Branco","Sobral do Campo","39:59:29.0868000000052''","7:33:7.94880000000092''","agriculture",2015-03-07,"11:37:00",2015-03-07,"13:30:00",2015-03-07,"12:11:00",NA,0,0,0.1957,0,0.1957,"negligent"
"449","Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Aguiã","41:52:53.8860000000102''","8:26:35.6207999999982''","firepit",2015-03-30,"17:20:00",2015-03-30,"18:19:00",2015-03-30,"17:21:00",NA,0.5,0,0,0.5,0.5,"intentional"
"450","Alentejo","Évora","Portel","São Bartolomeu do Outeiro","38:19:43.4352000000081''","7:54:11.2248000000003''","agriculture",2015-05-16,"17:47:00",2015-05-16,"17:55:00",2015-05-16,"18:10:00",NA,0,0,0.03,0,0.03,"negligent"
"451","Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Soajo","41:53:35.833200000003''","8:15:43.3079999999975''","firepit",2015-05-16,"22:18:00",2015-05-17,"00:18:00",2015-05-16,"22:45:00",NA,0,0.02,0,0.02,0.02,"intentional"
"452","Ribatejo e Oeste","Santarém","Santarém","São Salvador","00:39:16.100","00:08:41.932","agriculture",2015-05-16,"23:51:00",2015-05-17,"00:25:00",2015-05-17,"00:00:00",NA,0,0,0.0035,0,0.0035,"intentional"
"453","Entre Douro e Minho","Viseu","Cinfães","Santiago de Piães","41:2:36.2579999999997''","8:9:16.3403999999991''","fire",2015-03-09,"14:00:00",2015-03-09,"18:13:00",2015-03-09,"14:10:00",NA,0,1,0,1,1,"negligent"
"454","Trás-os-Montes","Vila Real","Montalegre","Outeiro","41:46:09","07:58:06","fire",2015-03-09,"16:06:00",2015-03-09,"20:20:00",2015-03-09,"16:50:00",NA,0,3,0,3,3,"negligent"
"455","-","Viseu","Moimenta da Beira","União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz","40:57:26","07:36:50","fire",2015-03-09,"17:00:00",2015-03-09,"18:25:00",2015-03-09,"17:08:00",NA,0,1.6,0,1.6,1.6,"negligent"
"456","Trás-os-Montes","Vila Real","Boticas","Vilar","41:40:26.914800000003''","7:43:38.7732000000004''","fire",2015-03-10,"10:56:00",2015-03-10,"12:53:00",2015-03-10,"11:38:00",NA,0.5,1,0,1.5,1.5,"negligent"
"457","Trás-os-Montes","Vila Real","Vila Real","Campeã","41:17:13.8156000000026''","7:53:26.898000000001''","fire",2015-03-10,"14:28:00",2015-03-10,"16:50:00",2015-03-10,"14:40:00",NA,2.9,0,0,2.9,2.9,"negligent"
"458","Beira Litoral","Aveiro","Ovar","Ovar","40:51:50.5044000000078''","8:37:56.9351999999984''","firepit",2015-04-02,"14:51:00",2015-04-02,"15:56:00",2015-04-02,"15:00:00",NA,0,0.3425,0,0.3425,0.3425,"intentional"
"459","Trás-os-Montes","Vila Real","Boticas","Beça","41:42:22.9967999999889''","7:45:25.5023999999995''","fire",2015-04-02,"19:43:00",2015-04-03,"01:00:00",2015-04-02,"20:30:00",NA,3.5,1,0,4.5,4.5,"negligent"
"460","Beira Interior","Guarda","Seia","Vila Cova à Coelheira","40:23:01","07:43:57","firepit",2015-04-03,"11:00:00",2015-04-03,"13:00:00",2015-04-03,"11:15:00",NA,0.05,0,0,0.05,0.05,"negligent"
"461","Trás-os-Montes","Bragança","Carrazeda de Ansiães","Fonte Longa","41:13:48.6120000000039''","7:16:10.6283999999986''","firepit",2015-04-03,"11:58:00",2015-04-03,"13:10:00",2015-04-03,"12:08:00",NA,0,0.002,0,0.002,0.002,"negligent"
"462","-","Vila Real","Vila Pouca De Aguiar","Soutelo de Aguiar","41:28:23","07:44:35","firepit",2015-04-03,"12:00:00",2015-04-03,"13:00:00",2015-04-03,"12:10:00",NA,0,0.8,0,0.8,0.8,"negligent"
"463","Trás-os-Montes","Vila Real","Sabrosa","Parada de Pinhão","41:20:4.44119999999941''","7:35:45.3480000000003''","firepit",2015-03-30,"12:42:00",2015-03-30,"13:40:00",2015-03-30,"13:00:00",NA,0,0.006,0,0.006,0.006,"negligent"
"464","Entre Douro e Minho","Braga","Vila Nova de Famalicão","Vermoim","41:25:17.7672000000001''","8:27:3.69719999999944''","firepit",2015-04-03,"18:17:00",2015-04-03,"19:55:00",2015-04-03,"18:26:00",NA,0,0.005,0,0.005,0.005,"rekindling"
"465","Ribatejo e Oeste","Santarém","Tomar","Serra","00:39:36.640","00:08:17.512","firepit",2015-05-27,"12:48:00",2015-05-27,"14:46:00",2015-05-27,"12:57:00",NA,0,0.1322,0,0.1322,0.1322,"intentional"
"466","Algarve","Faro","Loulé","Boliqueime","00:37:07.380","00:08:08.500","agriculture",2015-05-28,"11:53:00",2015-05-28,"14:37:00",2015-05-28,"12:10:00",NA,0,0,2.3,0,2.3,"negligent"
"467","Ribatejo e Oeste","Setúbal","Montijo","Montijo","38:42:26.6256000000101''","8:59:29.6988000000012''","agriculture",2015-05-28,"12:33:00",2015-05-28,"13:20:00",2015-05-28,"12:38:00",NA,0,0,2e-04,0,2e-04,"intentional"
"468","Entre Douro e Minho","Viana do Castelo","Viana do Castelo","Carvoeiro","41:39:9.7128000000032''","8:39:10.6020000000028''","firepit",2015-05-28,"16:28:00",2015-05-28,"18:30:00",2015-05-28,"16:28:00",NA,0,0.1,0,0.1,0.1,"rekindling"
"469","Beira Interior","Castelo Branco","Castelo Branco","São Vicente da Beira","40:1:3.00360000001035''","7:37:33.3371999999996''","firepit",2015-03-09,"09:54:00",2015-03-09,"11:58:00",2015-03-09,"10:40:00",NA,0.6545,0,0,0.6545,0.6545,"negligent"
"470","Beira Litoral","Viseu","Viseu","Bodiosa","40:42:49.3667999999946''","7:57:54.2699999999989''","fire",2015-03-09,"13:34:00",2015-03-09,"15:00:00",2015-03-09,"13:48:00",NA,0.7,0.3,0,1,1,"negligent"
"471","Beira Litoral","Viseu","Viseu","São Pedro de France","40:43:10.7688000000093''","7:47:57.7103999999991''","firepit",2015-03-09,"14:52:00",2015-03-09,"16:40:00",2015-03-09,"15:05:00",NA,0.05,0.15,0,0.2,0.2,"negligent"
"472","-","Vila Real","Montalegre","Fiães do Rio","41:46:32","07:55:33","fire",2015-03-09,"14:50:00",2015-03-09,"16:20:00",2015-03-09,"15:00:00",NA,0,6,0,6,6,"negligent"
"473","Entre Douro e Minho","Braga","Vieira do Minho","Rossas","41:35:13.0127999999985''","8:4:25.8420000000014''","firepit",2015-03-09,"18:53:00",2015-03-09,"21:45:00",2015-03-09,"19:15:00",NA,0.2,0.4,0,0.6,0.6,"negligent"
"474","Trás-os-Montes","Vila Real","Montalegre","Morgade","41:45:18","07:44:00","fire",2015-03-10,"12:09:00",2015-03-10,"14:45:00",2015-03-10,"12:30:00",NA,1.5,0,0,1.5,1.5,"intentional"
"475","Entre Douro e Minho","Viana do Castelo","Paredes de Coura","Romarigães","41:51:38.5920000000021''","8:37:37.3296000000013''","fire",2015-03-10,"14:07:00",2015-03-10,"17:50:00",2015-03-10,"14:20:00",NA,1.1,3.8,0,4.9,4.9,"intentional"
"476","Entre Douro e Minho","Viseu","Cinfães","Cinfães","41:4:19.9667999999923''","8:5:12.2171999999992''","fire",2015-03-10,"19:52:00",2015-03-10,"22:40:00",2015-03-10,"20:02:00",NA,0,1,0,1,1,"negligent"
"477","Trás-os-Montes","Vila Real","Vila Real","Vilarinho de Samardã","41:24:39.707999999988''","7:44:2.83920000000059''","firepit",2015-03-11,"13:05:00",2015-03-11,"15:02:00",2015-03-11,"13:45:00",NA,0,0.5,0,0.5,0.5,"negligent"
"478","Beira Litoral","Coimbra","Vila Nova de Poiares","Arrifana","40:14:40.4987999999952''","8:15:36.1512000000012''","agriculture",2015-03-11,"14:05:00",2015-03-11,"14:28:00",2015-03-11,"14:29:00",NA,0,0,0.05,0,0.05,"negligent"
"479","Beira Interior","Guarda","Sabugal","Souto","40:21:22.040000000012","6:58:52.64","fire",2015-04-18,"19:17:00",2015-04-18,"20:36:00",2015-04-18,"19:22:00",NA,1,3.77,0,4.77,4.77,"negligent"
"480","-","Viseu","Resende","União das freguesias de Anreade e São Romão de Aregos","41:05:59","07:58:56","firepit",2015-04-02,"16:35:00",2015-04-02,"17:28:00",2015-04-02,"16:56:00",NA,0.001,0.01,0,0.011,0.011,"intentional"
"481","Beira Interior","Guarda","Fornos de Algodres","Algodres","40:38:16.003224239999","7:31:25.1396418000117","agric_burn",2015-03-11,"14:10:00",2015-03-11,"16:00:00",2015-03-11,"14:20:00",NA,0,0.16,0,0.16,0.16,"negligent"
"482","Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Cabreiro","41:56:20.0940000000054''","8:25:21.1656000000019''","fire",2015-03-11,"16:48:00",2015-03-11,"18:05:00",2015-03-11,"17:00:00",NA,0,1,0,1,1,"negligent"
"483","Beira Litoral","Leiria","Pedrógão Grande","Pedrógão Grande","39:56:57.2423999999893''","8:9:33.8219999999998''","agriculture",2015-03-11,"17:33:00",2015-03-11,"18:35:00",2015-03-11,"17:36:00",NA,0,0,0.65,0,0.65,"negligent"
"484","-","Porto","Penafiel","Penafiel","41:13:47","08:16:16","firepit",2015-03-11,"18:46:00",2015-03-11,"19:20:00",2015-03-11,"18:51:00",NA,0,0.01,0,0.01,0.01,"negligent"
"485","Beira Litoral","Aveiro","Ílhavo","Gafanha da Nazaré","40:38:18.9563999999973''","8:42:57.7836000000008''","agriculture",2015-05-21,"13:36:00",2015-05-21,"14:30:00",2015-05-21,"13:45:00",NA,0,0,0.002,0,0.002,"negligent"
"486","Algarve","Faro","Silves","São Bartolomeu de Messines","1900-01-01 13:15:53","00:08:22.800","firepit",2015-05-21,"17:09:00",2015-05-21,"19:25:00",2015-05-21,"17:21:00",NA,0,5e-04,0,5e-04,5e-04,"negligent"
"487","Beira Litoral","Coimbra","Figueira da Foz","Tavarede","40:10:13.2491999999985''","8:50:20.1768000000023''","agriculture",2015-05-21,"18:55:00",2015-05-21,"19:21:00",2015-05-21,"18:59:00",NA,0,0,0.001,0,0.001,"negligent"
"488","-","Viseu","Lamego","União das freguesias de Bigorne, Magueija e Pretarouca","41:02:41","07:52:37","agric_burn",2015-03-07,"15:38:00",2015-03-07,"19:16:00",2015-03-07,"16:47:00",NA,0,0.05,0,0.05,0.05,"negligent"
"489","Trás-os-Montes","Vila Real","Vila Real","Vila Marim","41:19:9.51600000000553''","7:46:59.5056000000008''","firepit",2015-03-08,"04:32:00",2015-03-08,"05:50:00",2015-03-08,"05:04:00",NA,0,0.001,0,0.001,0.001,"intentional"
"490","Beira Litoral","Viseu","Viseu","Orgens","40:39:57.3767999999893''","7:56:4.0091999999985''","fire",2015-03-05,"09:46:00",2015-03-05,"12:40:00",NA,"",NA,1.5,0.5,0,2,2,"negligent"
"491","-","Guarda","Guarda","Seixo Amarelo","40:27:30.7999997999946","7:20:31.9099995600936","fire",2015-03-08,"15:00:00",2015-03-08,"19:30:00",2015-03-08,"15:20:00",NA,0,4,0,4,4,"negligent"
"492","-","Braga","Vieira do Minho","União das freguesias de Ruivães e Campos","41:41:41","08:02:10","firepit",2015-03-08,"20:35:00",2015-03-08,"23:42:00",2015-03-08,"21:00:00",NA,0,0.5,0,0.5,0.5,"negligent"
"493","Entre Douro e Minho","Braga","Terras de Bouro","Campo do Gerês","41:44:58.2828000000126''","8:11:41.359200000001''","firepit",2015-04-06,"20:32:00",2015-04-06,"22:50:00",2015-04-06,"20:50:00",NA,0.15,0.2,0,0.35,0.35,"negligent"
"494","Entre Douro e Minho","Porto","Penafiel","Santa Marta","41:13:4.82520000000022''","8:16:17.2668000000024''","firepit",2015-04-07,"01:08:00",2015-04-07,"02:42:00",2015-04-07,"01:14:00",NA,0,0.02,0,0.02,0.02,"negligent"
"495","Beira Interior","Castelo Branco","Fundão","Silvares","40:9:38.4911999999906''","7:39:13.0320000000003''","firepit",2015-03-12,"16:21:00",2015-03-12,"18:13:00",2015-03-12,"17:08:00",NA,0.137,0,0,0.137,0.137,"negligent"
"496","Ribatejo e Oeste","Leiria","Caldas da Rainha","Santa Catarina","39:26:45.7799999999986''","9:0:49.1796000000029''","agriculture",2015-03-13,"11:15:00",2015-03-13,"12:36:00",2015-03-13,"11:32:00",NA,0,0,0.02,0,0.02,"negligent"
"497","Entre Douro e Minho","Vila Real","Ribeira De Pena","Ribeira de Pena (Salvador)","41:29:48.6527999999998''","7:49:27.9047999999987''","firepit",2015-03-13,"14:20:00",2015-03-13,"17:05:00",2015-03-13,"14:45:00",NA,0,0.3,0,0.3,0.3,"negligent"
"498","Entre Douro e Minho","Porto","Amarante","Mancelos","41:16:53.9688000000007''","8:9:34.5780000000032''","firepit",2015-04-05,"10:35:00",2015-04-05,"12:30:00",2015-04-05,"10:45:00",NA,0.3778,0,0,0.3778,0.3778,"negligent"
"499","Entre Douro e Minho","Viseu","Cinfães","Espadanedo","41:4:58.8252000000074''","8:11:54.9024000000011''","firepit",2015-04-05,"12:48:00",2015-04-05,"14:57:00",2015-04-05,"13:13:00",NA,0,0.03,0,0.03,0.03,"negligent"
"500","Entre Douro e Minho","Viseu","Resende","Panchorra","41:1:47.1900000000028''","7:57:42.8472000000009''","fire",2015-04-05,"18:25:00",2015-04-05,"19:52:00",2015-04-05,"18:28:00",NA,0,1.5,0,1.5,1.5,"negligent"
"501","-","Viana do Castelo","Arcos de Valdevez","União das freguesias de São Jorge e Ermelo","41:49:34","08:20:06","fire",2015-04-05,"18:58:00",2015-04-06,"00:49:00",2015-04-05,"19:00:00",NA,30,15,0,45,45,"negligent"
"502","Entre Douro e Minho","Porto","Amarante","Salvador do Monte","41:14:2.14079999999569''","8:5:51.6371999999969''","fire",2015-04-05,"20:20:00",2015-04-05,"22:20:00",2015-04-05,"20:45:00",NA,0,1,0,1,1,"rekindling"
"503","Entre Douro e Minho","Braga","Celorico De Basto","Arnóia","41:21:55.785600000001''","8:0:48.877199999999''","firepit",2015-04-05,"20:31:00",2015-04-05,"23:40:00",2015-04-05,"20:45:00",NA,0.2,0.26,0,0.46,0.46,"intentional"
"504","Entre Douro e Minho","Braga","Barcelos","Moure","41:30:4.23000000001252''","8:33:23.7024000000031''","agric_burn",2015-04-03,"04:41:00",2015-04-03,"06:10:00",2015-04-03,"04:54:00",NA,0,0.005,0,0.005,0.005,"rekindling"
"505","Entre Douro e Minho","Porto","Lousada","Sousela","41:18:3.00599999999747''","8:18:39.031199999997''","fire",2015-04-03,"12:34:00",2015-04-03,"15:14:00",2015-04-03,"12:46:00",NA,1.5,2.16,0,3.66,3.66,"negligent"
"506","-","Bragança","Mogadouro","União das freguesias de Mogadouro, Valverde, Vale de Porco e Vilar de Rei","41:25:24","06:36:59","firepit",2015-04-03,"14:12:00",2015-04-03,"15:45:00",2015-04-03,"14:25:00",NA,0,0.36,0,0.36,0.36,"negligent"
"507","-","Castelo Branco","Castelo Branco","União das freguesias de Escalos de Cima e Lousa","39:54:52","07:24:45","firepit",2015-03-01,"13:35:00",2015-03-01,"16:00:00",2015-03-01,"13:54:00",NA,0,0.1564,0,0.1564,0.1564,"negligent"
"508","Trás-os-Montes","Bragança","Freixo de Espada à Cinta","Mazouco","41:8:49.761600000009''","6:46:56.4095999999997''","firepit",2015-03-04,"09:10:00",2015-03-04,"10:10:00",2015-03-04,"09:15:00",NA,0,0.074,0,0.074,0.074,"negligent"
"509","-","Braga","Celorico de Basto","União das freguesias de Veade, Gagos e Molares","41:28:21","08:02:10","firepit",2015-03-05,"11:40:00",2015-03-05,"13:05:00",2015-03-05,"11:50:00",NA,0.07,0,0,0.07,0.07,"intentional"
"510","Ribatejo e Oeste","Santarém","Alcanena","Alcanena","39:28:6.64680000000544''","8:38:55.5720000000026''","agriculture",2015-03-05,"12:14:00",2015-03-05,"12:58:00",2015-03-05,"12:18:00",NA,0,0,0.0595,0,0.0595,"negligent"
"511","Entre Douro e Minho","Viseu","Resende","São João de Fontoura","41:6:23.7419999999952''","7:55:8.83559999999868''","fire",2015-03-05,"14:27:00",2015-03-05,"16:56:00",2015-03-05,"14:42:00",NA,0.07,1.9,0,1.97,1.97,"negligent"
"512","Beira Interior","Castelo Branco","Castelo Branco","Malpica do Tejo","39:41:35.3328000000027''","7:23:14.1467999999997''","firepit",2015-03-05,"15:35:00",2015-03-05,"18:45:00",2015-03-05,"16:00:00",NA,0.2709,0.2131,0,0.484,0.484,"negligent"
"513","-","Porto","Gondomar","União das freguesias de Foz do Sousa e Covelo","41:07:05","08:29:48","fire",2015-03-06,"10:32:00",2015-03-06,"13:36:00",2015-03-06,"10:44:00",NA,10,0,0,10,10,"negligent"
"514","Trás-os-Montes","Bragança","Vinhais","Celas","41:43:22.6919999999876''","6:54:22.1255999999988''","fire",2015-04-06,"17:52:00",2015-04-06,"22:05:00",2015-04-06,"18:30:00",NA,0,5.44,0,5.44,5.44,"negligent"
"515","Beira Litoral","Viseu","Castro Daire","Moledo","40:49:17.6339999999988''","7:51:24.9768000000015''","fire",2015-03-16,"14:41:00",2015-03-17,"01:55:00",NA,"",NA,33,22,0,55,55,"negligent"
"516","Entre Douro e Minho","Viana Do Castelo","Ponte Da Barca","Vila Chã (São João Baptista)","41:47:29.3064000000032''","8:19:19.29''","fire",2015-04-06,"22:21:00",2015-04-07,"02:00:00",2015-04-06,"23:00:00",NA,1,1.5,0,2.5,2.5,"negligent"
