region,district,municipality,origin,alert_date,alert_hour,village_area,vegetation_area,farming_area,village_veget_area,total_area,intentional_cause,max_temperature,precipitation,min_temperature,avg_temperature
Alentejo,Portalegre,Crato,agriculture,2014-05-03,11:43:00,0,0,0.169,0,0.169,0,25.7,0,11.9,18.7
Ribatejo e Oeste,Santarém,Ferreira do Zézere,agriculture,2014-07-16,16:28:00,0,0,0.3222,0,0.3222,0,28.7,0.3,14.5,19.7
Entre Douro e Minho,Braga,Celorico de Basto,firepit,2014-07-16,22:29:00,0.02,0,0,0.02,0.02,1,30,0,18.1,22.9
Beira Litoral,Coimbra,Cantanhede,firepit,2014-03-19,20:12:00,0.03,0,0,0.03,0.03,0,22.9,0,9,14.6
Tras-dos-Montes,Vila Real,Ribeira de Pena,firepit,2014-03-19,20:55:00,0,0.5,0,0.5,0.5,0,24.7,0,2.6,11
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-03-19,20:39:00,0,0.2,0,0.2,0.2,0,21.9,0,6.9,12.3
Tras-dos-Montes,Bragança,Bragança,fire,2014-03-22,19:13:00,0,1.38,0,1.38,1.38,0,11.6,2.4,3.5,6.9
Beira Interior,Guarda,Aguiar da Beira,fire,2014-04-09,14:35:00,0.5,0.5,0,1,1,0,25.6,5.4,12.8,19.9
Beira Litoral,Aveiro,Sever do Vouga,fire,2014-04-08,20:45:00,2,0,0,2,2,0,23.9,0,10.3,16.6
Alentejo,Portalegre,Ponte de Sor,agriculture,2014-05-19,11:42:00,0,0,0.0589,0,0.0589,0,22,0,13.7,15.4
Algarve,Faro,Tavira,firepit,2014-05-19,18:21:00,0,1e-04,0,1e-04,1e-04,0,21.6,0,14.2,18.3
Beira Litoral,Aveiro,Aveiro,agriculture,2014-05-19,20:54:00,0,0,0.0058,0,0.0058,0,17.2,1.2,7.6,12.9
Alentejo,Portalegre,Ponte de Sor,agriculture,2014-05-15,20:28:00,0,0,0.0637,0,0.0637,0,30.9,0,13.2,22.4
Beira Litoral,Aveiro,Santa Maria da Feira,firepit,2014-05-12,11:06:00,0,0.358,0,0.358,0.358,1,24.2,0,8.6,15
Beira Litoral,Viseu,Viseu,firepit,2014-05-12,13:28:00,0,1e-04,0,1e-04,1e-04,0,24.2,0,8.6,15
Beira Litoral,Coimbra,Figueira da Foz,agriculture,2014-05-12,14:53:00,0,0,0.001,0,0.001,0,24.2,0,8.6,15
Entre Douro e Minho,Braga,Vila Verde,firepit,2014-05-13,13:14:00,0.1,0,0,0.1,0.1,1,21.2,0,7.2,14.3
Beira Litoral,Viseu,Cinfães,firepit,2014-05-14,01:39:00,0,0.3,0,0.3,0.3,0,30.1,0,14.2,21.8
Ribatejo e Oeste,Santarém,Chamusca,firepit,2014-05-14,10:32:00,0,0.0021,0,0.0021,0.0021,0,28.1,0,11.5,20.2
Alentejo,Beja,Mértola,agriculture,2014-05-14,14:50:00,0,0,1.1,0,1.1,0,29.6,0,15.7,23.5
Entre Douro e Minho,Braga,Guimarães,fire,2014-05-14,15:24:00,1,0,0,1,1,0,29.7,0,10.9,19.1
Algarve,Faro,Silves,agriculture,2014-07-18,12:50:00,0,0,0.1552,0,0.1552,0,30.6,0,20.2,22.9
Ribatejo e Oeste,Santarém,Alcanena,firepit,2014-03-15,12:21:00,0,0.0348,0,0.0348,0.0348,0,21.9,0,6.2,13.2
Entre Douro e Minho,Viana do Castelo,Valença,fire,2014-03-15,17:02:00,1,1.3,0,2.3,2.3,0,21.8,0.1,7.1,12.5
Beira Litoral,Aveiro,Santa Maria da Feira,firepit,2014-03-17,12:25:00,0,0.6808,0,0.6808,0.6808,0,19.4,0,5.7,10.7
Entre Douro e Minho,Viana do Castelo,Valença,fire,2014-03-19,12:55:00,1.5,0,0,1.5,1.5,1,21.9,0,6.9,12.3
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,fire,2014-03-20,14:33:00,9.055,0,0,9.055,9.055,0,16.6,2,9.2,11.5
Tras-dos-Montes,Vila Real,Valpaços,firepit,2014-03-19,14:50:00,0,0.5,0,0.5,0.5,0,18.6,0,4.5,11
Beira Interior,Guarda,Mêda,firepit,2014-03-22,22:52:00,0,0.1,0,0.1,0.1,0,11.6,1.5,2.9,6.9
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,agriculture,2014-05-15,01:46:00,0,0,0.05,0,0.05,0,30.1,0,14.1,21
Tras-dos-Montes,Bragança,Mirandela,firepit,2014-05-15,20:00:00,0.1,0.06,0,0.16,0.16,0,31.8,0,9,17.1
Entre Douro e Minho,Viana do Castelo,Vila Nova de Cerveira,firepit,2014-05-15,14:26:00,0,0.005,0,0.005,0.005,0,30.1,0,14.1,21
Entre Douro e Minho,Braga,Guimarães,fire,2014-05-16,10:43:00,1.5,0,0,1.5,1.5,0,31.2,0,14.2,21.3
Entre Douro e Minho,Viana do Castelo,Caminha,firepit,2014-05-16,17:44:00,0,0.02,0,0.02,0.02,0,31.2,0,14.2,21.3
Alentejo,Beja,Castro Verde,agriculture,2014-05-16,17:10:00,0,0,0.7,0,0.7,0,23.7,0,16.7,19.9
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,firepit,2014-06-15,18:10:00,0,0.005,0,0.005,0.005,1,30.2,0,17.8,24.1
Entre Douro e Minho,Braga,Pôvoa de Lanhoso,fire,2014-06-16,09:00:00,1.26,0,0,1.26,1.26,0,30.2,0,15.8,22.3
Tras-dos-Montes,Bragança,Mogadouro,firepit,2014-08-13,16:06:00,0,0.91,0,0.91,0.91,0,24.9,0,9,17.1
Entre Douro e Minho,Braga,Terras de Bouro,fire,2014-03-20,20:44:00,0.07,1.53,0,1.6,1.6,0,16.6,2,9.2,11.5
Entre Douro e Minho,Viana do Castelo,Ponte da Barca,firepit,2014-03-20,22:32:00,0.1,0.1,0,0.2,0.2,1,16.6,2,9.2,11.5
Ribatejo e Oeste,Santarém,Constância,firepit,2014-03-23,14:50:00,0,0.189,0,0.189,0.189,0,14.6,0,5.4,9.2
Ribatejo e Oeste,Santarém,Tomar,agriculture,2014-07-03,16:31:00,0,0,0.1016,0,0.1016,0,27.2,14,14.2,20
Algarve,Faro,Aljezur,agriculture,2014-07-04,16:03:00,0,0,0.025,0,0.025,0,25.2,0,16.6,20.9
Alentejo,Évora,Évora,agriculture,2014-07-04,17:47:00,0,0,0.49,0,0.49,0,31.1,0,15.1,22.4
Alentejo,Beja,Moura,agriculture,2014-07-05,23:00:00,0,0,0.1,0,0.1,0,31.3,0,14,21.2
Beira Litoral,Viseu,Penalva do Castelo,firepit,2014-07-06,17:18:00,0,1e-04,0,1e-04,1e-04,0,22,5.6,16.2,17.7
Tras-dos-Montes,Vila Real,Chaves,fire,2014-03-15,12:08:00,1,0,0,1,1,0,19.5,0,3.2,11.6
Beira Litoral,Leiria,Figueiró dos Vinhos,firepit,2014-03-15,19:12:00,0.3,0.3,0,0.6,0.6,0,21.9,0,6.2,13.2
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,fire,2014-03-16,11:04:00,78.457,40.076,0,118.533,118.533,1,24.1,0,7.4,13.5
Beira Litoral,Aveiro,Oliveira de Azeméis,firepit,2014-03-16,13:31:00,0,0.21,0,0.21,0.21,0,22.7,0,8.9,14.2
Entre Douro e Minho,Braga,Barcelos,firepit,2014-03-17,11:32:00,0,0.02,0,0.02,0.02,0,18,0,8.9,12.4
Beira Litoral,Coimbra,Coimbra,firepit,2014-03-17,18:57:00,0,0.001,0,0.001,0.001,0,19.4,0,5.7,10.7
Entre Douro e Minho,Braga,Pôvoa de Lanhoso,fire,2014-06-19,15:00:00,0,1,0,1,1,1,24.1,0.2,16.4,18.3
Beira Litoral,Viseu,Nelas,firepit,2014-06-19,19:07:00,0,0.017,0,0.017,0.017,0,24,0,13.2,18.3
Alentejo,Beja,Beja,agriculture,2014-06-20,00:45:00,0,0,1.6,0,1.6,1,27.3,0,15,20.6
Alentejo,Évora,Vila Viçosa,agriculture,2014-06-20,18:07:00,0,0,0.2833,0,0.2833,0,27.3,0,15.1,22.8
Algarve,Faro,Faro,agriculture,2014-06-21,08:46:00,0,0,0.001,0,0.001,0,23.5,0,18.9,20.6
Ribatejo e Oeste,Santarém,Tomar,firepit,2014-07-08,11:34:00,0,0.0671,0,0.0671,0.0671,0,23.9,0,12.3,17.9
Ribatejo e Oeste,Santarém,Benavente,agriculture,2014-07-08,16:51:00,0,0,0.008,0,0.008,0,26,0,16.5,18.8
Beira Litoral,Viseu,Resende,firepit,2014-06-05,10:54:00,0,0.015,0,0.015,0.015,0,23.7,0,8.1,15.9
Ribatejo e Oeste,Setubal,Alcaçer do Sal,agriculture,2014-06-06,12:30:00,0,0,0.28,0,0.28,0,20.6,18.8,13.8,18.1
Beira Interior,Guarda,Figueira de Castelo Rodrigo,firepit,2014-06-09,13:42:00,0,0.85,0,0.85,0.85,0,20.4,0,9.8,14.6
Algarve,Faro,Albufeira,agriculture,2014-05-19,20:17:00,0,0,0.005,0,0.005,0,21.6,0,14.2,18.3
Ribatejo e Oeste,Santarém,Ourém,firepit,2014-07-17,07:07:00,0,0.0065,0,0.0065,0.0065,0,25.9,0,15.2,18.7
Tras-dos-Montes,Vila Real,Valpaços,fire,2014-08-25,18:54:00,0.5,5,0,5.5,5.5,0,30.7,0,11.3,21.8
Entre Douro e Minho,Braga,Vila Nova de Famalição,firepit,2014-05-17,07:58:00,0,0.001,0,0.001,0.001,0,28.5,0,13.1,19.7
Ribatejo e Oeste,Setubal,Alcaçer do Sal,firepit,2014-05-17,17:25:00,0,0.0096,0,0.0096,0.0096,0,26.3,0,17.6,18.6
Entre Douro e Minho,Braga,Vila Verde,agriculture,2014-05-18,14:48:00,0,0,0.001,0,0.001,1,25,0,12.7,17
Beira Interior,Guarda,Guarda,agric_burn,2014-07-07,16:41:00,0,0,0.002,0,0.002,0,28.1,0,11.3,19.2
Beira Interior,Castelo Branco,Idanha-a-Nova,firepit,2014-08-17,01:05:00,0.288,0,0,0.288,0.288,1,35.7,0,19.3,27.5
Entre Douro e Minho,Braga,Vila Verde,firepit,2014-08-17,00:43:00,0,0.01,0,0.01,0.01,0,31.4,0,13.9,21.8
Beira Interior,Castelo Branco,Castelo Branco,firepit,2014-08-17,03:26:00,0,0.0322,0,0.0322,0.0322,0,35.7,0,19.3,27.5
Beira Interior,Guarda,Seia,agric_burn,2014-01-09,18:05:00,0,0.05,0,0.05,0.05,0,16.3,0,6.5,11.9
Beira Litoral,Leiria,Figueiró dos Vinhos,firepit,2014-03-08,20:14:00,0.02,0.11,0,0.13,0.13,0,23.2,0,11.9,17.5
Entre Douro e Minho,Porto,Amarante,firepit,2014-07-11,06:02:00,0.48,0.1,0,0.58,0.58,0,30.9,0,10.2,23.3
Alentejo,Portalegre,Castelo de Vide,agriculture,2014-07-11,09:10:00,0,0,0.1,0,0.1,0,33.2,0,17.9,25.2
Alentejo,Beja,Beja,agriculture,2014-07-22,07:40:00,0,0,0.124,0,0.124,1,36.6,0,16.6,26.2
Beira Litoral,Coimbra,Soure,agriculture,2014-06-11,16:25:00,0,0,0.005,0,0.005,0,29,0,11.9,19.6
Tras-dos-Montes,Vila Real,Mesão Frio,firepit,2014-04-12,16:01:00,0.03,0,0,0.03,0.03,1,22.2,0,11.4,14.9
Ribatejo e Oeste,Santarém,Coruche,agriculture,2014-06-13,11:02:00,0,0,0.001,0,0.001,0,33.4,0,22.9,26.2
Beira Litoral,Viseu,Sátão,fire,2014-04-10,20:07:00,3.5,0.6,0,4.1,4.1,0,23.8,0,12.9,16.4
Tras-dos-Montes,Vila Real,Chaves,firepit,2014-04-11,12:15:00,0.01,0,0,0.01,0.01,0,22.7,0,6.9,15
Ribatejo e Oeste,Setubal,Almada,firepit,2014-07-23,12:50:00,0,0.5,0,0.5,0.5,0,26,0,17.6,19.4
Tras-dos-Montes,Bragança,Torre de Moncorvo,firepit,2014-05-10,16:45:00,0,0.08,0,0.08,0.08,1,25.8,0,10.6,18.8
Ribatejo e Oeste,Setubal,Almada,firepit,2014-05-11,13:12:00,0,9e-04,0,9e-04,9e-04,0,24.1,0,15.3,19.6
Entre Douro e Minho,Braga,Cabeceiras de Basto,firepit,2014-05-11,13:45:00,0,0.01,0,0.01,0.01,0,24.3,0,11.7,17.1
Beira Litoral,Coimbra,Miranda do Corvo,firepit,2014-05-11,16:23:00,0.4,0.4,0,0.8,0.8,1,22.1,0,13.7,16.1
Beira Litoral,Aveiro,Anadia,firepit,2014-04-12,00:01:00,0.7,0.282,0,0.982,0.982,1,22.9,0,11.4,15.5
Tras-dos-Montes,Bragança,Mirandela,agriculture,2014-04-12,13:20:00,0,0,1e-04,0,1e-04,0,22.2,0,11.3,14.9
Beira Litoral,Leiria,Porto de Mós,firepit,2014-06-07,22:24:00,0,2e-04,0,2e-04,2e-04,0,21.1,0.5,12.6,16.4
Alentejo,Beja,Odemira,agriculture,2014-06-11,11:48:00,0,0,0.2106,0,0.2106,0,26.6,0,15.2,23.8
Ribatejo e Oeste,Santarém,Tomar,agriculture,2014-08-07,14:51:00,0,0,1.5,0,1.5,0,26.2,0,18,21.2
Entre Douro e Minho,Porto,Vila do Conde,fire,2014-04-12,16:45:00,1.42,0.36,0,1.78,1.78,0,23.5,0,9.2,15.4
Entre Douro e Minho,Braga,Pôvoa de Lanhoso,firepit,2014-04-12,17:50:00,0,0.63,0,0.63,0.63,0,23.5,0,9.2,15.4
Beira Interior,Castelo Branco,Idanha-a-Nova,agriculture,2014-05-17,17:10:00,0,0,4.048,0,4.048,0,27.6,0,12.6,20.4
Entre Douro e Minho,Braga,Barcelos,firepit,2014-05-17,08:46:00,0.15,0,0,0.15,0.15,0,28.5,0,13.1,19.7
Entre Douro e Minho,Porto,Amarante,firepit,2014-05-17,08:50:00,0,0.02,0,0.02,0.02,0,28.5,0,13.1,19.7
Beira Litoral,Coimbra,Coimbra,firepit,2014-05-17,14:27:00,0,0.01,0,0.01,0.01,0,28.4,0,15,20.3
Entre Douro e Minho,Braga,Celorico de Basto,fire,2014-05-18,11:48:00,15,10,0,25,25,1,25,0,12.7,17
Alentejo,Beja,Odemira,agriculture,2014-05-20,11:54:00,0,0,0.1,0,0.1,0,21.3,12.4,6,16.8
Alentejo,Portalegre,Nisa,fire,2014-05-16,17:04:00,1.583,0,0,1.583,1.583,0,28.1,0,15.8,22.4
Beira Interior,Guarda,Vila Nova de Foz Coa,fire,2014-05-30,22:22:00,1,30,4,31,35,0,22.8,0,8.4,14.4
Ribatejo e Oeste,Santarém,Salvaterra de Magos,agriculture,2014-05-31,15:28:00,0,0,0.0714,0,0.0714,0,24.1,0,14.5,19.3
Algarve,Faro,Loulé,firepit,2014-05-31,16:51:00,0,0.001,0,0.001,0.001,0,31.5,0,14.6,23.4
Entre Douro e Minho,Viana do Castelo,Melgaço,agric_burn,2014-03-20,10:44:00,0,45.7,0,45.7,45.7,0,24,0,4.4,11.5
Beira Litoral,Viseu,Vouzela,firepit,2014-03-20,12:48:00,0.015,0,0,0.015,0.015,1,17.2,2,7.7,11.9
Tras-dos-Montes,Bragança,Mirandela,firepit,2014-03-22,16:19:00,0,0.003,0,0.003,0.003,0,11.6,0.6,6.6,6.9
Ribatejo e Oeste,Lisboa,Loures,firepit,2014-07-03,13:35:00,0,0.86,0,0.86,0.86,0,27.2,0,18.1,19.8
Ribatejo e Oeste,Setubal,Sesimbra,firepit,2014-07-05,14:54:00,0,0.0089,0,0.0089,0.0089,0,25.1,0,16.8,19.2
Ribatejo e Oeste,Santarém,Mação,agriculture,2014-07-05,17:52:00,0,0,0.239,0,0.239,0,30.4,0,15.2,22.2
Ribatejo e Oeste,Setubal,Montijo,firepit,2014-06-02,15:03:00,0,0.2146,0,0.2146,0.2146,0,25.6,0,15.5,21
Entre Douro e Minho,Porto,Vila do Conde,firepit,2014-06-03,15:55:00,0.14,0.03,0,0.17,0.17,0,19,1.4,11.6,14.4
Ribatejo e Oeste,Santarém,Almeirim,agriculture,2014-06-04,11:05:00,0,0,0.559327,0,0.559327,0,21.5,0,14.6,18.5
Ribatejo e Oeste,Santarém,Tomar,agriculture,2014-06-11,13:13:00,0,0,0.0183,0,0.0183,0,29,0,11.9,19.6
Beira Litoral,Coimbra,Figueira da Foz,firepit,2014-06-11,17:47:00,0.01,0,0,0.01,0.01,1,29,0,11.9,19.6
Alentejo,Beja,Vidigueira,fire,2014-06-12,01:00:00,0.9,0.4,0.8,1.3,2.1,1,36.4,0,19.6,26.5
Tras-dos-Montes,Bragança,Vila FLor,firepit,2014-06-12,11:38:00,0,0.09,0,0.09,0.09,0,32,0,13.9,23.3
Beira Litoral,Viseu,Tondela,firepit,2014-06-12,17:55:00,0,0.02,0,0.02,0.02,0,33.4,0,14,22.4
Ribatejo e Oeste,Lisboa,Mafra,agric_burn,2014-06-16,18:23:00,0,0.2,0,0.2,0.2,0,29.7,0,18.1,22.2
Beira Litoral,Viseu,Nelas,firepit,2014-07-10,13:00:00,0.049,0,0,0.049,0.049,0,31,0,17.9,23.2
Beira Interior,Guarda,Almeida,firepit,2014-07-10,16:57:00,0.01,0.17,0,0.18,0.18,0,31.2,0,16,23.8
Alentejo,Portalegre,Monforte,firepit,2014-08-19,23:22:00,0.7941,0,0,0.7941,0.7941,0,32.5,0,14.6,23.7
Ribatejo e Oeste,Santarém,Abrantes,agriculture,2014-07-08,11:38:00,0,0,3.084,0,3.084,1,30,0,14,21.8
Alentejo,Beja,Beja,agriculture,2014-07-09,16:03:00,0,0,1.6,0,1.6,0,35.9,0,14,25.7
Alentejo,Beja,Vidigueira,agriculture,2014-07-10,12:27:00,0,0,0.24,0,0.24,0,36.1,0,18.3,28.2
Alentejo,Beja,Serpa,agriculture,2014-07-10,18:00:00,0,0,2.2,0,2.2,0,36.1,0,18.3,28.2
Entre Douro e Minho,Braga,Vieira do Minho,firepit,2014-08-18,21:33:00,0,0.01,0,0.01,0.01,0,29.1,0,16,21.9
Ribatejo e Oeste,Santarém,Coruche,firepit,2014-08-07,13:16:00,0.0222,0,0,0.0222,0.0222,0,33.3,0,17.1,24.4
Entre Douro e Minho,Porto,Marco de Canaveses,firepit,2014-08-18,15:23:00,0.05,0.0973,0,0.1473,0.1473,1,29.1,0,16,21.9
Ribatejo e Oeste,Santarém,Tomar,agriculture,2014-08-18,20:26:00,0,0,0.1378,0,0.1378,1,27.5,0,14.6,19.6
Alentejo,Beja,Aljustrel,agriculture,2014-07-05,13:35:00,0,0,0.1405,0,0.1405,0,31.3,0,16.8,21.2
Entre Douro e Minho,Viana do Castelo,Paredes de Coura,firepit,2014-08-16,14:57:00,0,0.011,0,0.011,0.011,0,28,0,12.5,19.9
Beira Litoral,Viseu,Carregal do Sal,firepit,2014-08-16,18:34:00,0.3,0,0,0.3,0.3,1,32.7,0,11.7,20.8
Entre Douro e Minho,Braga,Barcelos,firepit,2014-06-16,21:34:00,0,0.053,0,0.053,0.053,1,30.2,0,15.8,22.3
Ribatejo e Oeste,Setubal,Santiago do Cacém,agriculture,2014-03-18,16:13:00,0,0,0.0991,0,0.0991,0,19.5,0,7.2,13.2
Beira Litoral,Viseu,Tabuaço,firepit,2014-03-23,15:35:00,0,0.018,0,0.018,0.018,0,12.4,1,2.1,6.7
Beira Litoral,Viseu,Sernancelhe,firepit,2014-03-24,16:50:00,0,0.08,0,0.08,0.08,0,11.8,1.2,5.7,6.8
Tras-dos-Montes,Vila Real,Valpaços,firepit,2014-08-15,19:06:00,0,0.01,0,0.01,0.01,0,28.6,0,8.8,18.4
Beira Litoral,Leiria,Caldas da Rainha,agriculture,2014-07-07,15:52:00,0,0,5e-04,0,5e-04,0,23.6,0,15.9,17.8
Entre Douro e Minho,Braga,Guimarães,agriculture,2014-07-07,19:26:00,0,0,0.02,0,0.02,0,21.3,0.6,11.7,16
Tras-dos-Montes,Vila Real,Santa Marta de Penaguião,firepit,2014-03-20,19:08:00,0,5e-04,0,5e-04,5e-04,0,21.1,0,4.4,11.9
Tras-dos-Montes,Bragança,Vila FLor,firepit,2014-04-24,14:53:00,0,0.01,0,0.01,0.01,0,13.2,0.2,4.6,8.1
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,firepit,2014-05-16,00:58:00,0.001,0,0,0.001,0.001,0,31.2,0,14.2,21.3
Beira Litoral,Viseu,Oliveira de Frades,firepit,2014-08-06,23:49:00,0.002,0,0,0.002,0.002,1,28.1,0.4,16.9,20.7
Beira Litoral,Viseu,Resende,firepit,2014-07-29,09:31:00,0,0.025,0,0.025,0.025,1,33.2,0,15.7,23.5
Beira Litoral,Aveiro,Santa Maria da Feira,firepit,2014-07-29,12:50:00,0,0.16,0,0.16,0.16,1,33.2,0,15.7,23.5
Alentejo,Portalegre,Gavião,fire,2014-07-03,17:29:00,1.85,0,0,1.85,1.85,0,27.3,14,14.5,19.1
Entre Douro e Minho,Braga,Vila Nova de Famalição,firepit,2014-05-12,16:48:00,0,0.01,0,0.01,0.01,0,20.1,0,7.6,13.8
Beira Litoral,Coimbra,Miranda do Corvo,fire,2014-05-13,15:01:00,83,5,0,88,88,1,26.4,0,8.4,16.6
Beira Litoral,Viseu,São João da Pesqueira,fire,2014-04-12,15:56:00,0,17.5,0,17.5,17.5,0,22.2,0,11.4,14.9
Tras-dos-Montes,Bragança,Freixo de Espada Ã  Cinta,firepit,2014-05-11,16:06:00,0,0.001,0,0.001,0.001,0,24.3,0,11.7,17.1
Ribatejo e Oeste,Setubal,Almada,firepit,2014-07-04,13:18:00,0,0.005,0,0.005,0.005,0,25.1,0,17.8,19.3
Algarve,Faro,Olhão,agriculture,2014-07-07,22:47:00,0,0,4e-04,0,4e-04,0,29.9,0,16.7,21.5
Entre Douro e Minho,Porto,Amarante,firepit,2014-08-16,14:38:00,0.0437,0.05,0,0.0937,0.0937,1,28,0,12.5,19.9
Beira Litoral,Viseu,Resende,firepit,2014-08-17,01:43:00,0,0.1,0,0.1,0.1,0,35.5,0,17,25.6
Entre Douro e Minho,Viana do Castelo,Monção,fire,2014-03-07,22:49:00,1,1,0,2,2,0,23.2,0,8.1,14.2
Beira Litoral,Coimbra,Tábua,firepit,2014-03-08,15:13:00,0,0.001,0,0.001,0.001,0,23.2,0,11.9,17.5
Beira Interior,Guarda,Fornos de Algodres,agric_burn,2014-03-10,18:53:00,0,0.4,0,0.4,0.4,0,19.6,0,4.1,13.2
Beira Interior,Castelo Branco,Sertá,firepit,2014-07-02,18:26:00,0.045,0.045,0,0.09,0.09,0,21.3,3.8,14.5,17.1
Beira Litoral,Viseu,Mangualde,firepit,2014-07-11,13:06:00,0,1e-04,0,1e-04,1e-04,0,32.2,0,17.5,23.2
Alentejo,Beja,Moura,fire,2014-07-11,16:52:00,256.7,0,0,256.7,256.7,0,36.1,0,16.9,28.8
Beira Litoral,Viseu,Tarouca,firepit,2014-08-22,09:55:00,0,0.025,0,0.025,0.025,0,25.6,0,16.7,18.8
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-08-19,13:18:00,0,0.0025,0,0.0025,0.0025,0,26.6,0,13.8,19.4
Beira Litoral,Viseu,Nelas,firepit,2014-08-19,18:13:00,0,0.1421,0,0.1421,0.1421,1,25.9,0,15.2,18.6
Alentejo,Beja,Mértola,agriculture,2014-07-04,16:50:00,0,0,16.8,0,16.8,0,25.2,0,16.6,22.4
Beira Litoral,Aveiro,Castelo de Paiva,firepit,2014-04-10,14:38:00,0.2805,0,0,0.2805,0.2805,0,23.8,0,12.9,16.4
Ribatejo e Oeste,Santarém,Rio Maior,firepit,2014-04-11,11:41:00,0,0.01,0,0.01,0.01,0,19.2,0,12.8,13.7
Beira Interior,Castelo Branco,Idanha-a-Nova,firepit,2014-04-12,16:29:00,0,0.01,0,0.01,0.01,0,24.4,0,8.2,16.9
Beira Interior,Guarda,Celorico da Beira,agriculture,2014-06-15,03:34:00,0,0,5e-04,0,5e-04,0,31.5,0,17.3,24.6
Beira Litoral,Coimbra,Oliveira do Hospital,firepit,2014-06-15,10:27:00,0,0.015,0,0.015,0.015,0,32.2,0,19.6,25.1
Beira Interior,Guarda,Figueira de Castelo Rodrigo,fire,2014-05-24,11:19:00,0,5.8,0,5.8,5.8,0,17.1,0,1.3,9.7
Algarve,Faro,Lagoa,agriculture,2014-05-24,17:55:00,0,0,0.2468,0,0.2468,0,22.7,0,11.1,17
Alentejo,Beja,Ferreira do Alentejo,agriculture,2014-06-16,17:25:00,0,0,4.6549,0,4.6549,0,29.7,0,18.1,25.3
Ribatejo e Oeste,Santarém,Mação,agriculture,2014-06-16,11:35:00,0,0,0.8161,0,0.8161,1,30.6,0,16.1,23.3
Beira Litoral,Aveiro,Ilhavo,firepit,2014-08-12,09:47:00,0,0.01,0,0.01,0.01,0,26.9,6.4,14,19.7
Tras-dos-Montes,Bragança,Macedo de Cavaleiros,agriculture,2014-05-16,16:13:00,0,0,0.0083,0,0.0083,0,26.3,0,11,18
Ribatejo e Oeste,Setubal,Santiago do Cacém,agric_burn,2014-05-17,18:49:00,0,0,0.0389,0,0.0389,0,28.8,0,10.1,20.7
Ribatejo e Oeste,Lisboa,Odivelas,agric_burn,2014-08-18,21:36:00,0,0.01,0,0.01,0.01,0,29.5,0,18.4,20.6
Alentejo,Portalegre,Elvas,agriculture,2014-08-19,15:30:00,0,0,0.003,0,0.003,0,32.5,0,14.6,23.7
Alentejo,Évora,Arraiolos,agriculture,2014-07-05,21:24:00,0,0,0.05,0,0.05,0,31.3,0,14,21.1
Alentejo,Beja,Moura,agriculture,2014-07-06,15:05:00,0,0,0.004,0,0.004,0,24.5,3.8,14.7,19.7
Beira Litoral,Leiria,Pombal,agriculture,2014-07-07,17:02:00,0,0,0.002,0,0.002,0,22.4,0,12.5,16.9
Ribatejo e Oeste,Santarém,Abrantes,firepit,2014-08-16,21:49:00,0,0.0263,0,0.0263,0.0263,1,32.7,0,11.7,20.8
Ribatejo e Oeste,Santarém,Salvaterra de Magos,firepit,2014-08-17,04:22:00,0.0677,0.02,0,0.0877,0.0877,1,29.6,0,19.4,23.1
Ribatejo e Oeste,Lisboa,Alenquer,firepit,2014-08-29,15:05:00,0,0.0684,0,0.0684,0.0684,0,27,0,18,20.3
Beira Litoral,Aveiro,Estarreja,firepit,2014-08-29,13:25:00,0,0.1145,0,0.1145,0.1145,1,27.8,0,15.1,19.5
Beira Litoral,Viseu,São Pedro do Sul,firepit,2014-08-29,14:17:00,0,0.02,0,0.02,0.02,0,27.8,0,15.1,19.5
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,firepit,2014-05-17,11:47:00,0,0.01,0,0.01,0.01,0,28.5,0,13.1,19.7
Beira Litoral,Viseu,Viseu,firepit,2014-05-17,14:25:00,0,0.02,0,0.02,0.02,1,28.4,0,15,20.3
Tras-dos-Montes,Vila Real,Montalegre,fire,2014-05-12,12:12:00,0,5,0,5,5,0,23.5,0,6.3,16.5
Alentejo,Beja,Moura,agriculture,2014-05-12,17:30:00,0,0,8.2,0,8.2,0,29.9,0,9.3,20.2
Entre Douro e Minho,Braga,Celorico de Basto,firepit,2014-05-13,16:32:00,0.4,0,0,0.4,0.4,1,24.2,0,4.8,16.8
Entre Douro e Minho,Porto,Marco de Canaveses,firepit,2014-05-14,02:25:00,0.2,0,0,0.2,0.2,0,29.7,0,10.9,19.1
Ribatejo e Oeste,Setubal,Alcochete,firepit,2014-05-14,11:55:00,0,0.015,0,0.015,0.015,0,29.1,0,18.2,22.1
Entre Douro e Minho,Braga,Vieira do Minho,firepit,2014-05-14,13:45:00,0.02,0.1,0,0.12,0.12,0,29.7,0,10.9,19.1
Ribatejo e Oeste,Santarém,Chamusca,firepit,2014-05-14,15:27:00,0,0.0803,0,0.0803,0.0803,1,30.1,0,14.2,21.8
