"id","region","district","municipality","parish","lat","lon","origin","alert_date","alert_hour","extinction_date","extinction_hour","firstInterv_date","firstInterv_hour","alert_source","village_area","vegetation_area","farming_area","village_veget_area","total_area","intentional_cause"
2794,"Beira Litoral","Viseu","Carregal do Sal","Cabanas de Viriato","40º29'2.54400000000089''","7º56'18.6684000000012''","firepit",2014-08-27 01:00:00,13:18:00,2014-08-27 01:00:00,13:47:00,2014-08-27 01:00:00,13:23:00,NA,0,0.002,0,0.002,0.002,0
2795,"Ribatejo e Oeste","Santarém","Tomar","Serra","39º33'28.8719999999967''","8º18'1.61999999999878''","firepit",2014-08-27 01:00:00,13:05:00,2014-08-27 01:00:00,14:36:00,2014-08-27 01:00:00,13:18:00,NA,0,0.0161,0,0.0161,0.0161,0
2796,"-","Guarda","Pinhel","Azevo","40:53:58","07:08:56","fire",2014-08-28 01:00:00,00:28:00,2014-08-28 01:00:00,03:14:00,2014-08-28 01:00:00,00:28:00,NA,0,20,0,20,20,0
2797,"Trás-os-Montes","Bragança","Vila FLor","Seixo de Manhoses","41º16'8.57640000000913''","7º10'33.6863999999999''","firepit",2014-08-17 01:00:00,01:15:00,2014-08-17 01:00:00,03:05:00,2014-08-17 01:00:00,01:18:00,NA,0,0.037,0,0.037,0.037,0
2798,"-","Castelo Branco","Fundão","União das freguesias de Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo","40º7'53''","7º29'49''","firepit",2014-08-17 01:00:00,09:30:00,2014-08-17 01:00:00,10:05:00,2014-08-17 01:00:00,09:38:00,NA,0,0.002,0,0.002,0.002,0
2799,"Beira Litoral","Viseu","Nelas","Senhorim","40º31'23.9843999999886''","7º47'35.718000000001''","firepit",2014-08-17 01:00:00,15:54:00,2014-08-17 01:00:00,16:53:00,2014-08-17 01:00:00,16:05:00,NA,0,0.6228,0,0.6228,0.6228,1
2800,"Ribatejo e Oeste","Leiria","Peniche","Atouguia da Baleia","39º20'27.149999999989''","9º21'6.45480000000248''","agriculture",2014-09-20 01:00:00,21:19:00,2014-09-20 01:00:00,22:41:00,2014-09-20 01:00:00,21:33:00,NA,0,0,0.001,0,0.001,0
2801,"Trás-os-Montes","Bragança","Vinhais","Edral","41º51'21.6539999999975''","7º10'6.73679999999948''","firepit",2014-08-18 01:00:00,01:48:00,2014-08-18 01:00:00,04:27:00,2014-08-18 01:00:00,02:37:00,NA,0,0.15,0,0.15,0.15,0
2802,"Entre Douro e Minho","Porto","Marco de Canaveses","Sobretâmega","41º11'58.7579999999997''","8º10'35.0111999999996''","firepit",2014-08-29 01:00:00,23:38:00,2014-08-30 01:00:00,01:30:00,2014-08-29 01:00:00,23:55:00,NA,0,0.175,0,0.175,0.175,1
2803,"Algarve","Faro","Alcoutim","Alcoutim","00:37:26.490","00:07:29.860","agriculture",2014-09-27 01:00:00,11:31:00,2014-09-27 01:00:00,12:53:00,2014-09-27 01:00:00,11:46:00,NA,0,0,0.931,0,0.931,0
2804,"Algarve","Faro","Tavira","Santo Estevão","00:37:09.600","00:07:43.700","agriculture",2014-09-03 01:00:00,15:20:00,2014-09-03 01:00:00,18:20:00,2014-09-03 01:00:00,15:32:00,NA,0,0,0.9542,0,0.9542,0
2805,"Beira Litoral","Aveiro","Ovar","Esmoriz","40º57'43.7616000000008''","8º38'16.7063999999993''","firepit",2014-09-05 01:00:00,14:23:00,2014-09-05 01:00:00,15:25:00,NA,NA,NA,0,0.0463,0,0.0463,0.0463,1
2806,"Trás-os-Montes","Bragança","Vinhais","Vale de Janeiro","41º45'3.2004000000029''","7º5'22.4159999999987''","firepit",2014-09-14 01:00:00,12:41:00,2014-09-14 01:00:00,14:02:00,2014-09-14 01:00:00,12:50:00,NA,0.0097,0,0,0.0097,0.0097,0
2807,"Alentejo","Setúbal","Grândola","Grândola","38º10'31.5191999999911''","8º32'11.0507999999999''","firepit",2014-09-15 01:00:00,11:17:00,2014-09-15 01:00:00,13:30:00,2014-09-15 01:00:00,11:20:00,NA,0.3,0,0,0.3,0.3,0
2808,"Beira Interior","Guarda","Almeida","Almeida","00:40:45.200","00:06:53.600","agriculture",2014-09-20 01:00:00,16:33:00,2014-09-20 01:00:00,17:59:00,2014-09-20 01:00:00,16:33:00,NA,0,0,1.7,0,1.7,0
2809,"Algarve","Faro","Loulé","Quarteira","00:37:04.700","00:08:05","agriculture",2014-09-23 01:00:00,13:17:00,2014-09-23 01:00:00,15:25:00,2014-09-23 01:00:00,13:27:00,NA,0,0,0.5,0,0.5,0
2810,"Trás-os-Montes","Bragança","Macedo de Cavaleiros","Vinhas","41º33'55.173599999996''","6º49'0.566400000001579''","firepit",2014-10-05 01:00:00,21:00:00,2014-10-05 01:00:00,22:13:00,2014-10-05 01:00:00,21:18:00,NA,0,0.0194,0,0.0194,0.0194,0
2811,"Alentejo","Beja","Beja","Santa Maria da Feira","00:38:02.300","00:07:52.210","agriculture",2014-10-06 01:00:00,16:30:00,2014-10-06 01:00:00,18:20:00,2014-10-06 01:00:00,17:00:00,NA,0,0,0.4,0,0.4,1
2812,"Alentejo","Setúbal","Grândola","Azinheira dos Barros","38º4'31.4292000000086''","8º27'54.2088000000031''","firepit",2014-10-21 01:00:00,14:35:00,2014-10-21 01:00:00,15:55:00,2014-10-21 01:00:00,15:00:00,NA,0.61,0,0,0.61,0.61,0
2813,"Entre Douro e Minho","Viana do Castelo","Ponte de Lima","Serdedelo","41:44:48.5663999999878''","8:31:12.3276000000027''","fire",2015-03-24 00:00:00,17:01:00,2015-03-24 00:00:00,18:09:00,2015-03-24 00:00:00,17:10:00,NA,2.5,0,0,2.5,2.5,0
2814,"Entre Douro e Minho","Porto","Marco de Canaveses","Vila Boa de Quires","41:12:58.4280000000109''","8:12:28.3788000000025''","fire",2015-03-24 00:00:00,17:10:00,2015-03-24 00:00:00,18:47:00,2015-03-24 00:00:00,17:16:00,NA,0,1.35,0,1.35,1.35,0
2815,"Entre Douro e Minho","Braga","Barcelos","Perelhal","41:31:36.8795999999941''","8:41:58.0343999999977''","fire",2015-03-24 00:00:00,18:03:00,2015-03-25 00:00:00,01:50:00,2015-03-24 00:00:00,18:15:00,NA,1.5,0,0,1.5,1.5,0
2816,"Trás-os-Montes","Vila Real","Boticas","Cerdedo","41:38:07","07:54:43","fire",2015-03-24 00:00:00,21:40:00,2015-03-25 00:00:00,05:45:00,2015-03-24 00:00:00,22:00:00,NA,0.5,38,0,38.5,38.5,0
2817,"Trás-os-Montes","Vila Real","Montalegre","Gralhas","41:51:4.15079999998738''","7:42:11.7215999999988''","firepit",2015-03-25 00:00:00,16:00:00,2015-03-25 00:00:00,17:00:00,2015-03-25 00:00:00,16:14:00,NA,0,0.01,0,0.01,0.01,0
2818,"Ribatejo e Oeste","Santarém","Torres Novas","Torres Novas (Santa Maria)","39:27:55.7460000000037''","8:32:20.0292000000015''","agriculture",2015-03-12 00:00:00,14:46:00,2015-03-12 00:00:00,15:30:00,2015-03-12 00:00:00,14:50:00,NA,0,0,0.0353,0,0.0353,0
2819,"Trás-os-Montes","Vila Real","Valpaços","Algeriz","41:35:23","07:24:14","firepit",2015-03-12 00:00:00,17:20:00,2015-03-12 00:00:00,18:30:00,2015-03-12 00:00:00,17:40:00,NA,0.1,0,0,0.1,0.1,0
2820,"Entre Douro e Minho","Vila Real","Mondim de Basto","Ermelo","41:21:02","07:54:57","firepit",2015-03-13 00:00:00,14:48:00,2015-03-13 00:00:00,16:27:00,2015-03-13 00:00:00,15:18:00,NA,0,0.1,0,0.1,0.1,0
2821,"Trás-os-Montes","Viseu","Lamego","Vila Nova de Souto D El-rei","41:4:37.9415999999884''","7:49:16.9212000000014''","firepit",2015-03-13 00:00:00,16:35:00,2015-03-13 00:00:00,18:10:00,2015-03-13 00:00:00,16:55:00,NA,0,0.02,0,0.02,0.02,0
2822,"Entre Douro e Minho","Braga","Terras de Bouro","Valdosende","41:39:57.9635999999914''","8:13:39.3960000000011''","fire",2015-03-14 00:00:00,06:10:00,2015-03-14 00:00:00,08:30:00,2015-03-14 00:00:00,06:15:00,NA,0.5,5,0,5.5,5.5,0
2823,"Alentejo","Portalegre","Fronteira","Fronteira","39:3:51.534000000002''","7:38:31.343999999999''","agriculture",2015-03-11 00:00:00,18:58:00,2015-03-11 00:00:00,19:24:00,NA,NA,NA,0,0,0.002,0,0.002,0
2824,"Ribatejo e Oeste","Santarém","Rio Maior","Rio Maior","39:18:28.6991999999981''","8:55:1.91999999999766''","firepit",2015-02-27 00:00:00,14:09:00,2015-02-27 00:00:00,14:53:00,2015-02-27 00:00:00,14:21:00,NA,0,0.0109,0,0.0109,0.0109,0
2825,"Ribatejo e Oeste","Santarém","Benavente","Benavente","38:57:56.736000000011''","8:49:31.5299999999971''","agriculture",2015-02-18 00:00:00,08:47:00,2015-02-18 00:00:00,09:32:00,NA,NA,NA,0,0,0.0154,0,0.0154,0
2826,"Trás-os-Montes","Viseu","Armamar","São Cosmado","41:3:47.069999999992''","7:38:30.4511999999989''","firepit",2015-03-04 00:00:00,13:33:00,2015-03-04 00:00:00,16:00:00,2015-03-04 00:00:00,13:33:00,NA,0,0.1,0,0.1,0.1,0
2827,"Alentejo","Portalegre","Marvão","Santa Maria de Marvão","39:24:3.08520000000726''","7:23:39.3791999999998''","fire",2015-03-04 00:00:00,17:15:00,2015-03-04 00:00:00,17:59:00,2015-03-04 00:00:00,17:40:00,NA,0,1,0,1,1,0
2828,"Beira Interior","Guarda","Almeida","Parada","40:31:35.5778721205604","6:59:48.5016570243351","fire",2015-03-04 00:00:00,19:00:00,2015-03-04 00:00:00,22:35:00,2015-03-04 00:00:00,19:40:00,NA,0,2,0,2,2,0
2829,"Beira Interior","Guarda","Sabugal","Bendada","40:22:11.8799997599996","7:15:57.8199999601598","agric_burn",2015-03-04 00:00:00,20:44:00,2015-03-05 00:00:00,00:25:00,2015-03-04 00:00:00,21:20:00,NA,0,0,0.01,0,0.01,0
2830,"Beira Interior","Guarda","Sabugal","Quadrazais","40:20:49.6000000000009","7:0:8.62999999999658","fire",2015-03-05 00:00:00,18:25:00,2015-03-05 00:00:00,20:20:00,2015-03-05 00:00:00,18:35:00,NA,0.62,5,2.5,5.62,8.12,0
2831,"Trás-os-Montes","Vila Real","Montalegre","Covelo do Gerês","41:44:1.00679999999386''","7:58:33.2688000000016''","firepit",2015-03-25 00:00:00,19:05:00,2015-03-25 00:00:00,20:35:00,2015-03-25 00:00:00,19:50:00,NA,0,0.5,0,0.5,0.5,0
2832,"Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Gondoriz","41:54:36.5076000000107''","8:24:28.6271999999995''","fire",2015-03-26 00:00:00,00:29:00,2015-03-26 00:00:00,01:48:00,2015-03-26 00:00:00,00:32:00,NA,2,0.05,0,2.05,2.05,1
2833,"Entre Douro e Minho","Braga","Guimarães","Guardizela","41:23:16.4435999999978''","8:21:54.3275999999986''","firepit",2015-03-26 00:00:00,01:36:00,2015-03-26 00:00:00,02:38:00,2015-03-26 00:00:00,01:40:00,NA,0,0.05,0,0.05,0.05,0
2834,"Ribatejo e Oeste","Leiria","Caldas da Rainha","Foz do Arelho","39:26:5.67239999999117''","9:12:36.107999999999''","agriculture",2015-03-26 00:00:00,18:00:00,2015-03-26 00:00:00,20:21:00,2015-03-26 00:00:00,18:10:00,NA,0,0,0.05,0,0.05,0
2835,"Ribatejo e Oeste","Santarém","Torres Novas","Riachos","39:27:37.3788000000008''","8:29:53.1491999999984''","agriculture",2015-03-27 00:00:00,11:28:00,2015-03-27 00:00:00,12:00:00,2015-03-27 00:00:00,11:33:00,NA,0,0,0.1398,0,0.1398,0
2836,"-","Castelo Branco","Covilhã","União das freguesias de Casegas e Ourondo","40:15:48","07:30:08","agriculture",2015-03-06 00:00:00,16:04:00,2015-03-06 00:00:00,18:40:00,2015-03-06 00:00:00,16:48:00,NA,0,0,0.205,0,0.205,0
2837,"-","Porto","Baião","União das freguesias de Baião (Santa Leocádia) e Mesquinhata","41:07:34","08:06:00","firepit",2015-03-06 00:00:00,14:01:00,2015-03-06 00:00:00,15:36:00,2015-03-06 00:00:00,14:30:00,NA,0,0.05,0,0.05,0.05,0
2838,"Entre Douro e Minho","Viseu","Cinfães","Tendais","41:0:29.7359999999998''","8:2:59.715599999998''","firepit",2015-03-06 00:00:00,14:14:00,2015-03-06 00:00:00,15:37:00,2015-03-06 00:00:00,14:28:00,NA,0,0.1,0,0.1,0.1,0
2839,"-","Bragança","Alfândega da Fé","União das freguesias de Eucisia, Gouveia e Valverde","41:18:46","07:00:47","firepit",2015-03-06 00:00:00,15:33:00,2015-03-06 00:00:00,16:15:00,2015-03-06 00:00:00,15:41:00,NA,0,0.001,0,0.001,0.001,0
2840,"Beira Interior","Guarda","Guarda","Vila Fernando","40:28:40.2500000000043","7:9:41.1700000000048","agric_burn",2015-03-07 00:00:00,01:01:00,2015-03-07 00:00:00,02:30:00,2015-03-07 00:00:00,01:35:00,NA,0,0,0.08,0,0.08,0
2841,"Beira Litoral","Viseu","Tondela","Santiago de Besteiros","40:34:17.587199999989''","8:8:41.7515999999989''","fire",2015-03-07 00:00:00,05:25:00,2015-03-07 00:00:00,08:55:00,2015-03-07 00:00:00,05:40:00,NA,1.2,0,0,1.2,1.2,0
2842,"-","Viseu","Viseu","União das freguesias de Viseu","40:43:04","07:48:59","firepit",2015-03-07 00:00:00,11:04:00,2015-03-07 00:00:00,13:10:00,2015-03-07 00:00:00,11:31:00,NA,0.12,0,0,0.12,0.12,0
2843,"Beira Interior","Guarda","Sabugal","Águas Belas","40:23:13.0631999999889''","7:9:33.7428000000016''","agric_burn",2015-03-07 00:00:00,14:45:00,2015-03-07 00:00:00,15:45:00,2015-03-07 00:00:00,14:45:00,NA,0,1,0,1,1,0
2844,"Beira Interior","Guarda","Sabugal","Souto","40:20:49.9899999999883","6:56:54.6900000000002","agric_burn",2015-03-06 00:00:00,13:59:00,2015-03-06 00:00:00,14:40:00,2015-03-06 00:00:00,14:22:00,NA,0,0.4,0,0.4,0.4,0
2845,"Alentejo","Portalegre","Portalegre","São Julião","39:18:49.9392000000125''","7:18:18.4968000000013''","firepit",2015-03-06 00:00:00,13:26:00,2015-03-06 00:00:00,15:13:00,2015-03-06 00:00:00,13:52:00,NA,0,0.0447,0,0.0447,0.0447,0
2846,"Beira Litoral","Viseu","Mangualde","Cunha Baixa","40:34:8.85359999998968''","7:45:6.0948000000014''","agric_burn",2015-03-06 00:00:00,15:23:00,2015-03-06 00:00:00,16:15:00,2015-03-06 00:00:00,15:40:00,NA,0,0.0786,0,0.0786,0.0786,0
2847,"-","Viseu","Cinfães","Cinfães","41:02:34","08:04:32","fire",2015-03-06 00:00:00,20:55:00,2015-03-06 00:00:00,22:58:00,2015-03-06 00:00:00,21:30:00,NA,0,1,0,1,1,0
2848,"Trás-os-Montes","Viseu","Tarouca","Vila Chã da Beira","41:1:47.7948000000106''","7:41:14.0028000000013''","fire",2015-03-07 00:00:00,12:30:00,2015-03-07 00:00:00,16:33:00,2015-03-07 00:00:00,13:00:00,NA,0,1.5,0,1.5,1.5,0
2849,"-","Vila Real","Valpaços","Carrazedo de Montenegro","41:34:2.53000000000213","7:23:54.1300000000004","firepit",2015-03-07 00:00:00,13:00:00,2015-03-07 00:00:00,14:25:00,2015-03-07 00:00:00,13:10:00,NA,0,0.8,0,0.8,0.8,0
2850,"Entre Douro e Minho","Aveiro","Vale de Cambra","Arões","40:47:12.5700000000012''","8:16:15.1932000000004''","fire",2015-03-30 01:00:00,17:39:00,2015-03-30 01:00:00,19:42:00,2015-03-30 01:00:00,18:15:00,NA,1.74,0,0,1.74,1.74,0
2851,"Beira Interior","Castelo Branco","Proença-a-Nova","Sobreira Formosa","39:44:40.7831999999934''","7:49:20.4168000000008''","firepit",2015-02-26 00:00:00,22:11:00,2015-02-26 00:00:00,23:10:00,2015-02-26 00:00:00,22:30:00,NA,0,1e-04,0,1e-04,1e-04,0
2852,"-","Bragança","Bragança","União das freguesias de Sé, Santa Maria e Meixedo","41:42:50","06:47:39","firepit",2015-02-27 00:00:00,19:30:00,2015-02-27 00:00:00,20:27:00,2015-02-27 00:00:00,19:45:00,NA,0,0.14,0,0.14,0.14,0
2853,"Beira Interior","Guarda","Sabugal","Nave","40:23:24.4499999999914","6:58:28.9599999999983","fire",2015-03-04 00:00:00,16:20:00,2015-03-04 00:00:00,17:39:00,2015-03-04 00:00:00,16:30:00,NA,0.2,0.8,1,1,2,1
2854,"Beira Interior","Castelo Branco","Castelo Branco","Louriçal do Campo","40:2:25.2312000000092''","7:29:49.6319999999992''","firepit",2015-03-05 00:00:00,12:02:00,2015-03-05 00:00:00,13:50:00,2015-03-05 00:00:00,12:55:00,NA,0,0.008,0,0.008,0.008,0
2855,"Trás-os-Montes","Vila Real","Alijó","Vilar de Maçada","41:20:17.1599999999899''","7:33:28.5659999999987''","firepit",2015-03-05 00:00:00,13:05:00,2015-03-05 00:00:00,15:35:00,2015-03-05 00:00:00,13:30:00,NA,0,0.15,0,0.15,0.15,0
2856,"Trás-os-Montes","Viseu","Tarouca","São João de Tarouca","41:0:4.71960000000422''","7:44:14.4059999999995''","firepit",2015-03-14 00:00:00,12:38:00,2015-03-14 00:00:00,13:30:00,2015-03-14 00:00:00,12:50:00,NA,0,0.1,0,0.1,0.1,0
2857,"Entre Douro e Minho","Porto","Baião","Gove","41:7:46.030799999993''","8:4:15.3552000000032''","fire",2015-03-14 00:00:00,12:45:00,2015-03-14 00:00:00,15:10:00,2015-03-14 00:00:00,13:08:00,NA,0,1.69,0,1.69,1.69,0
2858,"Beira Litoral","Leiria","Alvaiázere","Maçãs de Caminho","39:50:36.9959999999935''","8:23:3.51240000000004''","firepit",2015-03-14 00:00:00,13:27:00,2015-03-14 00:00:00,16:01:00,2015-03-14 00:00:00,13:40:00,NA,0.08,0.04,0,0.12,0.12,0
2859,"Algarve","Faro","Loulé","Almancil","00:37:03.600","00:08:00.100","agriculture",2015-05-12 01:00:00,14:01:00,2015-05-12 01:00:00,15:20:00,2015-05-12 01:00:00,14:20:00,NA,0,0,0.4951,0,0.4951,0
2860,"Beira Interior","Castelo Branco","Idanha-a-Nova","Penha Garcia","40:0:59.4396000000046''","6:58:58.4508000000011''","firepit",2015-02-27 00:00:00,13:18:00,2015-02-27 00:00:00,16:03:00,2015-02-27 00:00:00,13:50:00,NA,0.15,0,0,0.15,0.15,0
2861,"Alentejo","Setúbal","Santiago do Cacém","Alvalade","37:56:28.7880000000024''","8:23:42.4967999999976''","firepit",2015-02-27 00:00:00,14:25:00,2015-02-27 00:00:00,16:40:00,2015-02-27 00:00:00,14:32:00,NA,0,0.048,0,0.048,0.048,0
2862,"Trás-os-Montes","Vila Real","Boticas","Beça","41:43:12.0100000000048","7:43:39.9199999999998","fire",2015-02-27 00:00:00,19:58:00,2015-02-27 00:00:00,22:52:00,2015-02-27 00:00:00,22:30:00,NA,1,3,0,4,4,0
2863,"-","Vila Real","Alijó","União das freguesias de Carlão e Amieiro","41:19:08","07:24:35","firepit",2015-03-02 00:00:00,16:00:00,2015-03-02 00:00:00,18:00:00,2015-03-02 00:00:00,16:25:00,NA,0.35,0,0,0.35,0.35,1
2864,"Entre Douro e Minho","Aveiro","Castelo de Paiva","São Martinho de Sardoura","41:3:14.5332000000036''","8:17:4.63920000000215''","firepit",2015-03-04 00:00:00,14:22:00,2015-03-04 00:00:00,17:00:00,2015-03-04 00:00:00,14:27:00,NA,0,0.3051,0,0.3051,0.3051,0
2865,"Beira Litoral","Coimbra","Oliveira do Hospital","Travanca de Lagos","40:23:12.0336000000049''","7:53:0.405600000000632''","firepit",2015-03-04 00:00:00,18:40:00,2015-03-04 00:00:00,19:40:00,2015-03-04 00:00:00,18:50:00,NA,0,0.03,0,0.03,0.03,0
2866,"Ribatejo e Oeste","Santarém","Santarém","Arneiro das Milhariças","39:24:10.3680000000116''","8:43:5.64599999999984''","agriculture",2015-03-05 00:00:00,14:36:00,2015-03-05 00:00:00,19:50:00,2015-03-05 00:00:00,14:50:00,NA,0,0,4.8645,0,4.8645,0
2867,"Trás-os-Montes","Viseu","Tarouca","Tarouca","41:1:9.96959999999604''","7:46:22.4183999999999''","firepit",2015-03-05 00:00:00,16:46:00,2015-03-05 00:00:00,17:05:00,2015-03-05 00:00:00,16:46:00,NA,0,0.44,0,0.44,0.44,0
2868,"Entre Douro e Minho","Viana do Castelo","Caminha","Dem","41:49:33.2832000000087''","8:45:45.6444000000012''","firepit",2015-03-05 00:00:00,22:49:00,2015-03-06 00:00:00,00:20:00,2015-03-05 00:00:00,23:05:00,NA,0.04,0.02,0,0.06,0.06,1
2869,"-","Porto","Felgueiras","União das freguesias de Pedreira, Rande e Sernande","41:20:17","08:13:30","firepit",2015-04-06 01:00:00,16:19:00,2015-04-06 01:00:00,17:28:00,2015-04-06 01:00:00,16:25:00,NA,0,0.03,0,0.03,0.03,0
2870,"Beira Interior","Guarda","Celorico da Beira","Carrapichana","40:33:52.1599999999989","7:28:12.7399999999992","agric_burn",2015-03-20 00:00:00,19:25:00,2015-03-20 00:00:00,21:10:00,2015-03-20 00:00:00,19:40:00,NA,0,0.15,0,0.15,0.15,0
2871,"Entre Douro e Minho","Viana do Castelo","Valença","Verdoejo","42:2:44.343599999998''","8:35:26.1707999999992''","firepit",2015-03-21 00:00:00,00:12:00,2015-03-21 00:00:00,01:05:00,2015-03-21 00:00:00,00:23:00,NA,0.01,0,0,0.01,0.01,1
2872,"Entre Douro e Minho","Viana do Castelo","Paredes de Coura","Vascões","41:54:6.37559999998757''","8:30:12.0528000000029''","firepit",2015-03-21 00:00:00,22:31:00,2015-03-21 00:00:00,23:06:00,2015-03-21 00:00:00,23:05:00,NA,0,0.01,0,0.01,0.01,1
2873,"Entre Douro e Minho","Viana do Castelo","Ponte da Barca","Oleiros","41:47:52.5299999999976''","8:25:55.4124000000023''","firepit",2015-03-21 00:00:00,22:30:00,2015-03-21 00:00:00,23:06:00,2015-03-21 00:00:00,22:32:00,NA,0.5,0,0,0.5,0.5,1
2874,"Beira Litoral","Viseu","Vouzela","Queirã","40:40:27.0876000000015''","8:3:48.0312000000016''","firepit",2015-03-07 00:00:00,12:04:00,2015-03-07 00:00:00,14:20:00,2015-03-07 00:00:00,12:20:00,NA,0.1,0.05,0,0.15,0.15,1
2875,"-","Guarda","Pinhel","Cerejo","40:43:45.8500000000026","7:12:47.5400000000003","fire",2015-03-30 01:00:00,17:38:00,2015-03-30 01:00:00,20:11:00,2015-03-30 01:00:00,18:50:00,NA,0.01,1.49,0,1.5,1.5,0
2876,"Trás-os-Montes","Viseu","São João da Pesqueira","Riodades","41:1:21.8963999999909''","7:29:49.3404''","firepit",2015-03-09 00:00:00,14:44:00,2015-03-09 00:00:00,16:20:00,NA,NA,NA,0,0.15,0,0.15,0.15,0
2877,"-","Vila Real","Chaves","União das freguesias de Calvão e Soutelinho da Raia","41:49:42","07:34:36","fire",2015-03-30 01:00:00,17:55:00,2015-03-30 01:00:00,20:30:00,2015-03-30 01:00:00,18:00:00,NA,0,5,0,5,5,0
2878,"Entre Douro e Minho","Viseu","Resende","São Cipriano","41:3:43.9956000000035''","7:58:59.6352000000004''","fire",2015-04-02 01:00:00,16:07:00,2015-04-02 01:00:00,19:23:00,2015-04-02 01:00:00,16:40:00,NA,0,1,0,1,1,1
2879,"Entre Douro e Minho","Viseu","Resende","São Cipriano","41:3:47.3003999999986''","7:59:51.0251999999989''","firepit",2015-04-03 01:00:00,01:00:00,2015-04-03 01:00:00,04:00:00,2015-04-03 01:00:00,01:42:00,NA,0,0.5,0,0.5,0.5,1
2880,"-","Coimbra","Coimbra","União das freguesias de São Martinho do Bispo e Ribeira de Frades","40:13:20","08:27:37","agriculture",2015-02-17 00:00:00,19:06:00,2015-02-17 00:00:00,20:17:00,2015-02-17 00:00:00,19:20:00,NA,0,0,0.001,0,0.001,0
2881,"-","Aveiro","Águeda","União das freguesias do Préstimo e Macieira de Alcoba","40:37:09","08:23:05","firepit",2015-02-19 00:00:00,13:03:00,2015-02-19 00:00:00,13:53:00,2015-02-19 00:00:00,13:25:00,NA,0.25,0.15,0,0.4,0.4,0
2882,"Trás-os-Montes","Vila Real","Vila Real","Vila Marim","41:18:16.3187999999974''","7:46:40.5947999999986''","firepit",2015-02-19 00:00:00,13:18:00,2015-02-19 00:00:00,13:45:00,2015-02-19 00:00:00,13:30:00,NA,0,0.1,0,0.1,0.1,1
2883,"Entre Douro e Minho","Braga","Amares","Bouro (Santa Marta)","41:40:19.8336000000012''","8:17:17.5739999999972''","fire",2015-02-21 00:00:00,15:10:00,2015-02-21 00:00:00,17:00:00,2015-02-21 00:00:00,15:15:00,NA,0,3.5,0,3.5,3.5,0
2884,"Entre Douro e Minho","Porto","Paredes","Louredo","41:14:15.7848000000035''","8:20:13.5996000000006''","firepit",2015-02-17 00:00:00,19:45:00,2015-02-17 00:00:00,20:16:00,2015-02-17 00:00:00,19:53:00,NA,0.02,0,0,0.02,0.02,0
2885,"-","Viana do Castelo","Viana do Castelo","União das freguesias de Subportela, Deocriste e Portela Susã","41:40:27","08:41:56","fire",2015-04-02 01:00:00,12:53:00,2015-04-02 01:00:00,19:55:00,NA,NA,NA,6.016,0,0,6.016,6.016,0
2886,"Beira Litoral","Coimbra","Coimbra","Cernache","40:7:38.7479999999886''","8:29:25.4039999999988''","firepit",2015-04-02 01:00:00,16:12:00,2015-04-02 01:00:00,19:00:00,NA,NA,NA,0.1,0,0,0.1,0.1,1
2887,"Entre Douro e Minho","Viana Do Castelo","Ponte De Lima","Santa Cruz do Lima","41:47:11.7923999999948''","8:28:55.7328000000017''","firepit",2015-04-02 01:00:00,21:30:00,2015-04-03 01:00:00,01:05:00,2015-04-02 01:00:00,22:00:00,NA,0.5,0,0,0.5,0.5,1
2888,"-","Vila Real","Boticas","Bobadela","41:43:28.4599999999966","7:37:2.33000000000018","firepit",2015-04-02 01:00:00,23:50:00,2015-04-03 01:00:00,00:45:00,2015-04-03 01:00:00,00:05:00,NA,0,0.5,0,0.5,0.5,0
2889,"Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Soajo","41:54:50.4539999999969''","8:14:55.8995999999992''","fire",2015-04-03 01:00:00,00:16:00,2015-04-03 01:00:00,17:23:00,2015-04-03 01:00:00,00:40:00,NA,0,34,0,34,34,0
2890,"-","Bragança","Vinhais","União das freguesias de Moimenta e Montouto","41:55:17","07:00:46","fire",2015-04-03 01:00:00,00:20:00,2015-04-03 01:00:00,00:57:00,2015-04-03 01:00:00,00:27:00,NA,0,1.01,0,1.01,1.01,0
2891,"Entre Douro e Minho","Viana do Castelo","Ponte de Lima","Friastelas","41:40:30.9864000000061''","8:34:38.992800000001''","firepit",2015-04-03 01:00:00,16:13:00,2015-04-03 01:00:00,19:04:00,2015-04-03 01:00:00,16:15:00,NA,0.02,0,0,0.02,0.02,0
2892,"Trás-os-Montes","Bragança","Macedo de Cavaleiros","Arcas","41:38:51.9539999999989''","7:2:13.9523999999994''","firepit",2015-03-05 00:00:00,15:00:00,2015-03-05 00:00:00,16:31:00,2015-03-05 00:00:00,15:35:00,NA,0,0.2,0,0.2,0.2,0
2893,"Ribatejo e Oeste","Santarém","Alcanena","Bugalhos","39:26:23.7047999999953''","8:39:21.7259999999973''","firepit",2015-03-05 00:00:00,16:02:00,2015-03-05 00:00:00,18:56:00,2015-03-05 00:00:00,16:10:00,NA,0,0.0554,0,0.0554,0.0554,1
2894,"Beira Litoral","Viseu","Viseu","Silgueiros","40:32:26.8691999999919''","7:57:13.3235999999989''","firepit",2015-03-06 00:00:00,11:30:00,2015-03-06 00:00:00,14:10:00,2015-03-06 00:00:00,12:00:00,NA,0,0.1,0,0.1,0.1,0
